year,state,state_po,state_fips,district,party,districtID
2020,FLORIDA,FL,12,4,REPUBLICAN,124
2020,FLORIDA,FL,12,5,DEMOCRAT,125
2020,FLORIDA,FL,12,6,REPUBLICAN,126
2020,FLORIDA,FL,12,7,DEMOCRAT,127
2020,FLORIDA,FL,12,8,REPUBLICAN,128
2020,FLORIDA,FL,12,9,DEMOCRAT,129
2020,FLORIDA,FL,12,10,DEMOCRAT,1210
2020,FLORIDA,FL,12,11,REPUBLICAN,1211
2020,FLORIDA,FL,12,12,REPUBLICAN,1212
2020,FLORIDA,FL,12,13,DEMOCRAT,1213
2020,FLORIDA,FL,12,14,DEMOCRAT,1214
2020,FLORIDA,FL,12,15,REPUBLICAN,1215
2020,FLORIDA,FL,12,16,REPUBLICAN,1216
2020,FLORIDA,FL,12,17,REPUBLICAN,1217
2020,FLORIDA,FL,12,18,REPUBLICAN,1218
2020,FLORIDA,FL,12,19,REPUBLICAN,1219
2020,FLORIDA,FL,12,20,DEMOCRAT,1220
2020,FLORIDA,FL,12,21,DEMOCRAT,1221
2020,FLORIDA,FL,12,22,DEMOCRAT,1222
2020,FLORIDA,FL,12,23,DEMOCRAT,1223
2020,FLORIDA,FL,12,24,DEMOCRAT,1224
2020,FLORIDA,FL,12,25,REPUBLICAN,1225
2020,FLORIDA,FL,12,26,REPUBLICAN,1226
2020,FLORIDA,FL,12,27,REPUBLICAN,1227
2020,GEORGIA,GA,13,1,REPUBLICAN,131
2020,GEORGIA,GA,13,2,DEMOCRAT,132
2020,GEORGIA,GA,13,3,REPUBLICAN,133
2020,GEORGIA,GA,13,4,DEMOCRAT,134
2020,GEORGIA,GA,13,5,DEMOCRAT,135
2020,GEORGIA,GA,13,6,DEMOCRAT,136
2020,GEORGIA,GA,13,7,DEMOCRAT,137
2020,GEORGIA,GA,13,8,REPUBLICAN,138
2020,GEORGIA,GA,13,9,REPUBLICAN,139
2020,GEORGIA,GA,13,10,REPUBLICAN,1310
2020,GEORGIA,GA,13,11,REPUBLICAN,1311
2020,GEORGIA,GA,13,12,REPUBLICAN,1312
2020,GEORGIA,GA,13,13,DEMOCRAT,1313
2020,GEORGIA,GA,13,14,REPUBLICAN,1314
2020,HAWAII,HI,15,1,DEMOCRAT,151
2020,HAWAII,HI,15,2,DEMOCRAT,152
2020,IDAHO,ID,16,1,REPUBLICAN,161
2020,IDAHO,ID,16,2,REPUBLICAN,162
2020,ILLINOIS,IL,17,1,DEMOCRAT,171
2020,ILLINOIS,IL,17,2,DEMOCRAT,172
2020,ILLINOIS,IL,17,3,DEMOCRAT,173
2020,ILLINOIS,IL,17,4,DEMOCRAT,174
2020,ILLINOIS,IL,17,5,DEMOCRAT,175
2020,ILLINOIS,IL,17,6,DEMOCRAT,176
2020,ILLINOIS,IL,17,7,DEMOCRAT,177
2020,ILLINOIS,IL,17,8,DEMOCRAT,178
2020,ILLINOIS,IL,17,9,DEMOCRAT,179
2020,ILLINOIS,IL,17,10,DEMOCRAT,1710
2020,ILLINOIS,IL,17,11,DEMOCRAT,1711
2020,ILLINOIS,IL,17,12,REPUBLICAN,1712
2020,ILLINOIS,IL,17,13,REPUBLICAN,1713
2020,ILLINOIS,IL,17,14,DEMOCRAT,1714
2020,ILLINOIS,IL,17,15,REPUBLICAN,1715
2020,ILLINOIS,IL,17,16,REPUBLICAN,1716
2020,ILLINOIS,IL,17,17,DEMOCRAT,1717
2020,ILLINOIS,IL,17,18,REPUBLICAN,1718
2020,INDIANA,IN,18,1,DEMOCRAT,181
2020,INDIANA,IN,18,2,REPUBLICAN,182
2020,INDIANA,IN,18,3,REPUBLICAN,183
