county,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,Percentage Eligible,rural
05049,2856,1902,125,8,63,14,2789,169,352,1339,1330,60.03,1
05051,21570,18911,708,492,4371,0,17951,821,2802,9939,9999,53.28,0
05053,2973,4211,94,48,633,9,2410,162,266,1213,1192,41.38,1
05055,9698,8004,480,151,1253,8,8519,545,1079,3952,4811,54.78,0
05057,4282,3271,76,21,1976,0,2341,124,485,1941,1947,56.69,1
05059,7113,6236,233,162,1442,0,5919,271,924,3278,3297,53.28,1
05061,2960,2126,180,16,504,0,2312,300,361,1462,1295,58.2,1
05063,8974,5975,393,24,199,44,8762,530,1105,4207,4179,60.03,1
05065,3212,2139,141,9,71,16,3136,190,395,1506,1496,60.03,1
05067,3456,2919,285,21,569,0,2977,275,441,1554,1495,54.21,1
05069,13421,10932,225,43,6557,0,7103,356,1137,6759,6304,55.11,0
05071,6034,4061,368,175,346,13,5506,818,890,2454,2833,59.77,1
05073,1347,1029,24,7,621,0,736,39,152,610,612,56.69,1
05075,3438,2837,170,54,444,3,3020,193,382,1401,1705,54.79,1
05077,2017,1170,138,9,937,0,1173,91,199,889,1035,63.29,1
05079,2582,2103,43,8,1261,0,1366,69,219,1300,1213,55.11,1
05081,2783,1999,169,15,474,0,2174,282,339,1375,1218,58.2,1
05083,4893,3515,298,27,833,0,3823,496,596,2418,2140,58.19,1
05085,13279,15413,589,486,2051,0,11515,771,1482,4800,5616,46.28,0
05087,3845,3127,170,41,77,0,3777,268,532,1815,1681,55.15,1
05089,3918,3186,173,42,79,0,3849,273,542,1849,1712,55.15,1
05091,9861,7083,600,55,1679,0,7704,1000,1202,4872,4313,58.2,0
05093,9536,5532,652,43,4428,0,5546,430,941,4204,4894,63.29,1
05095,1403,1185,116,9,231,0,1209,111,179,631,607,54.21,1
05097,1825,1600,60,42,370,0,1519,69,237,841,846,53.28,1
05099,1772,1354,32,9,818,0,969,51,201,803,806,56.69,1
05101,1682,1367,74,18,34,0,1652,117,233,794,735,55.17,1
05103,4833,3692,86,24,2230,0,2642,140,547,2190,2198,56.69,1
05105,1659,2351,53,27,354,5,1345,90,148,677,665,41.37,1
05107,3882,2252,266,17,1803,0,2258,175,383,1711,1992,63.29,1
05109,2191,1921,72,50,444,0,1823,83,285,1009,1015,53.28,1
05111,4845,3893,253,70,1111,0,3822,245,520,2007,2483,55.45,1
05113,4449,3196,271,25,758,0,3475,451,542,2198,1946,58.19,1
05115,14851,9996,906,431,850,32,13552,2014,2190,6039,6972,59.77,0
05117,1709,1443,141,11,282,0,1472,136,218,768,739,54.22,1
05119,78366,93348,1828,1918,40430,0,38234,6938,11573,32443,27418,45.64,0
05121,3938,3250,195,61,509,3,3459,221,438,1605,1953,54.79,1
05123,5412,3140,370,24,2513,0,3148,244,534,2386,2778,63.28,1
05125,20434,28947,649,329,4354,64,16567,1114,1827,8335,8191,41.38,0
05127,2277,1635,139,13,388,0,1779,231,277,1125,996,58.21,1
05129,1823,1482,81,19,37,0,1791,127,252,861,797,55.16,1
05131,27989,22537,2781,1678,2067,0,23409,4685,4505,11164,12814,55.4,0
05133,3667,2634,223,20,624,0,2865,372,447,1812,1604,58.2,1
05135,3662,3022,181,57,473,3,3216,206,407,1492,1816,54.79,1
05137,2923,1946,128,8,65,14,2854,173,360,1370,1361,60.03,1
05139,8332,6366,149,41,3845,0,4555,242,943,3777,3790,56.69,1
05141,3735,2487,164,10,83,18,3647,221,460,1751,1739,60.03,1
05143,43225,50452,2913,1817,4230,351,38809,8864,5943,13117,12399,46.14,0
05145,15842,13381,1305,98,2611,0,13647,1259,2024,7123,6852,54.21,0
05147,1292,1091,106,8,213,0,1113,103,165,581,559,54.22,1
05149,4747,3195,290,138,272,10,4332,644,700,1930,2229,59.77,1
