puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
0607103,31130,27358,53.22,50.11,-3.43,0.0,-3.86,0.0,-6.87,-4.57,-14.2,-12.32,-4.27,-2.08
0607104,22028,20868,51.35,44.91,-5.22,-20.97,-4.82,0.0,-12.0,-14.32,-3.77,-13.93,-11.95,-17.46
0607105,20786,30311,40.68,33.81,-7.73,-6.52,-0.28,0.0,-19.12,-14.71,-8.11,-13.29,-9.59,-16.22
0607107,20072,12863,60.94,54.89,0.0,-6.01,-10.95,0.0,-6.73,-12.33,-5.93,-7.48,-4.47,-7.37
0607108,34388,13907,71.2,67.37,-2.8,-7.4,-5.03,0.0,-7.61,-2.97,-3.07,-7.2,-3.67,-3.29
0607110,20970,10153,67.38,61.06,0.0,-13.57,0.0,0.0,-12.45,-10.36,-8.58,-7.5,-7.26,-6.23
0607111,23162,34353,40.27,35.76,-8.28,-13.43,-10.86,0.0,-13.36,-11.48,-2.44,-12.58,-9.28,-13.21
0607112,19787,19097,50.89,46.91,-2.86,-16.68,-0.13,-0.46,-10.11,-1.73,-10.63,-10.83,-7.47,-3.52
0607115,13572,19091,41.55,36.97,-6.04,-26.17,-15.4,0.0,-4.1,-7.59,0.0,-6.2,-4.29,-8.29
0607116,20745,16565,55.6,50.52,-22.59,-4.78,-9.67,0.0,-11.95,-7.94,-14.09,-11.35,-12.44,-2.51
0607117,18087,13602,57.08,53.84,-14.98,-14.95,-2.43,0.0,-6.63,-4.4,-10.9,-6.3,-3.73,-4.52
0607118,30638,27088,53.07,48.29,-3.29,-6.98,-3.14,0.0,-9.31,-9.26,-17.05,-13.25,-10.47,-9.01
0607119,20055,32064,38.48,33.71,-12.01,-12.4,-0.14,0.0,-11.88,-16.39,-23.99,-16.11,-8.93,-8.09
