puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible_120,difference_percentage_aian_120,difference_percentage_asian_120,difference_percentage_black_120,difference_percentage_nhpi_120,difference_percentage_white_120,difference_percentage_hispanic_120,difference_percentage_veteran_120,difference_percentage_elderly_120,difference_percentage_disability_120,Percentage Eligible_135,difference_percentage_aian_135,difference_percentage_asian_135,difference_percentage_black_135,difference_percentage_nhpi_135,difference_percentage_white_135,difference_percentage_hispanic_135,difference_percentage_veteran_135,difference_percentage_elderly_135,difference_percentage_disability_135,Percentage Eligible_150,difference_percentage_aian_150,difference_percentage_asian_150,difference_percentage_black_150,difference_percentage_nhpi_150,difference_percentage_white_150,difference_percentage_hispanic_150,difference_percentage_veteran_150,difference_percentage_elderly_150,difference_percentage_disability_150,Total Subscribers
1304702,15750,35247,30.88,22.84,0.0,0.0,-30.34,,-33.23,-43.96,-33.3,-21.61,-18.46,23.05,0.0,0.0,-29.49,,-32.59,-43.96,-33.3,-20.02,-17.83,23.26,0.0,0.0,-28.22,,-32.1,-43.96,-33.3,-19.22,-17.83,4430
1304800,26539,34836,43.24,33.57,-7.39,-78.69,-30.74,,-19.19,-1.42,-22.4,-23.95,-10.97,34.05,-7.39,-78.69,-26.95,,-18.87,-1.42,-22.4,-21.39,-10.97,36.72,-7.39,-78.69,-19.88,,-12.61,-1.42,-14.99,-13.63,-7.01,8703
1500100,37837,41957,47.42,40.45,-9.53,-8.64,-9.26,-5.3,-17.07,-0.98,-9.58,-18.68,-12.61,41.77,-9.53,-6.07,-9.26,-2.11,-13.44,-0.98,-3.31,-15.33,-6.65,43.64,-9.53,-5.5,-9.26,-1.7,-8.26,-0.98,-2.35,-12.1,-6.65,6882
1500200,34847,37347,48.27,44.45,-3.02,-5.4,0.0,-4.5,-7.92,-4.16,-7.05,-8.36,-2.73,45.34,0.0,-5.4,0.0,-4.5,-5.21,-4.16,-4.63,-6.23,-2.73,46.01,0.0,-4.99,0.0,-4.37,-3.51,-4.16,-3.02,-4.65,-1.94,8537
1500301,15537,12839,54.75,49.42,0.0,-12.83,-6.26,-6.48,-11.87,-1.43,-18.57,-9.15,-2.94,51.16,0.0,-5.57,-6.26,-6.14,-11.6,-1.43,-15.11,-3.47,-2.43,52.63,0.0,-2.19,-6.26,-3.48,-5.57,-0.62,-9.97,-0.39,0.0,5866
1500302,11420,26126,30.42,27.45,0.0,-10.77,0.0,-4.96,-9.2,-3.65,-15.48,-9.59,-4.35,27.46,0.0,-10.76,0.0,-4.96,-9.17,-3.65,-15.48,-9.58,-4.35,28.18,0.0,-7.66,0.0,-4.05,-8.01,-3.65,-11.74,-6.93,-4.32,2531
1500303,11572,28304,29.02,25.1,0.0,-13.37,0.0,-0.23,-10.85,-4.53,-4.19,-18.77,-4.63,25.64,0.0,-11.01,0.0,-0.23,-7.4,-4.53,-4.19,-16.15,-4.63,26.14,0.0,-10.97,0.0,-0.19,-5.23,-0.08,-3.97,-13.79,-3.26,2004
1500304,27279,37060,42.4,37.57,0.0,-12.65,-4.12,-6.55,-9.41,-4.4,-7.58,-11.03,-12.86,39.04,0.0,-7.7,-4.12,-6.55,-8.28,-4.4,-7.58,-10.44,-12.86,39.59,0.0,-7.01,-4.12,-6.55,-6.06,-4.4,-5.32,-9.55,-11.22,5454
1500305,18892,17647,51.7,47.05,-4.73,-7.56,-35.2,-4.1,-10.95,-12.23,-7.41,-12.47,-5.03,47.3,-4.23,-7.55,-34.51,-3.96,-9.29,-12.18,-5.41,-11.66,-4.57,47.61,-4.23,-6.68,-34.51,-3.87,-9.13,-12.13,-5.0,-10.71,-4.55,6033
1500306,17296,30801,35.96,30.32,-6.61,-11.71,-25.11,-18.77,-15.18,-13.28,-30.36,-9.99,-16.92,31.65,0.0,-10.84,-4.15,-10.71,-14.41,-11.78,-21.18,-6.02,-13.1,32.85,0.0,-8.27,-4.15,-4.37,-8.6,-11.05,-14.1,-5.64,-11.26,3288
1500307,15711,28386,35.63,33.11,0.0,-6.2,0.0,-6.87,-5.28,0.0,-5.4,-5.7,-2.29,33.55,0.0,-5.73,0.0,-3.76,-2.51,0.0,-5.4,-3.41,0.0,33.91,0.0,-5.28,0.0,-3.76,-1.04,0.0,-5.4,-2.74,0.0,4060
