zcta,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
72416,46.92,1195,962,55.4,-26.98,0.0,-4.49,,-17.05,-21.31,-17.19,-24.04,-12.75
72417,46.97,1206,969,55.45,-26.98,0.0,-4.69,,-17.12,-19.67,-17.83,-23.8,-12.62
72419,46.95,337,271,55.43,-27.78,0.0,-3.9,,-16.92,-17.65,-16.67,-24.29,-12.72
72421,46.89,116,93,55.5,-33.33,0.0,-7.41,,-17.39,-16.67,-16.67,-22.92,-13.33
72422,46.02,929,767,54.78,-28.26,0.0,0.0,0.0,-17.03,-17.31,-16.5,-26.12,-13.67
72424,45.45,12,10,54.55,-100.0,,0.0,,-10.0,0.0,0.0,-20.0,-16.67
72425,46.15,79,65,54.86,-25.0,0.0,0.0,,-17.39,0.0,-22.22,-25.0,-12.82
72426,55.07,43,25,63.24,-33.33,,-5.0,,-16.0,0.0,-25.0,-15.79,-9.09
72427,46.34,23,18,56.1,0.0,,0.0,,-16.67,0.0,0.0,-22.22,-16.67
72428,55.17,18,10,64.29,0.0,,0.0,,-10.0,0.0,-50.0,-12.5,-11.11
72429,47.01,65,52,55.56,-33.33,0.0,-6.67,,-15.69,0.0,-14.29,-22.22,-12.12
72430,45.95,81,67,54.73,-25.0,0.0,0.0,,-16.9,-20.0,-22.22,-27.27,-12.5
72431,44.26,66,56,54.1,0.0,,-18.18,,-19.3,0.0,0.0,-26.67,-17.24
72432,46.96,1294,1040,55.44,-27.94,0.0,-4.71,,-17.04,-21.21,-17.99,-23.88,-12.67
72433,45.99,574,474,54.77,-25.0,0.0,0.0,,-17.06,-18.75,-17.19,-26.07,-13.68
72434,46.03,422,348,54.81,-28.57,0.0,0.0,,-17.03,-20.83,-17.02,-26.16,-13.4
72435,46.02,62,51,54.87,-33.33,0.0,0.0,,-16.67,0.0,-14.29,-24.0,-12.9
72436,45.98,198,163,54.85,-30.0,0.0,-3.85,,-17.24,-18.18,-18.18,-25.93,-13.27
72437,46.99,736,592,55.42,-28.21,0.0,-4.73,,-17.04,-18.92,-17.72,-23.93,-12.73
72438,54.9,560,327,63.13,-18.42,0.0,-7.36,,-16.77,-24.0,-18.18,-16.19,-8.01
72440,45.83,52,43,54.74,-33.33,0.0,0.0,,-17.39,-33.33,-16.67,-23.81,-15.38
72441,46.15,14,12,53.85,0.0,,0.0,,-23.08,0.0,-50.0,-33.33,-14.29
72442,54.99,1140,661,63.3,-16.67,0.0,-7.56,,-16.89,-21.57,-19.47,-16.3,-8.21
72443,46.02,634,523,54.8,-25.81,0.0,0.0,0.0,-17.06,-19.44,-17.14,-25.97,-13.38
72444,45.99,369,305,54.75,-27.78,0.0,0.0,,-16.98,-19.05,-17.07,-26.0,-13.66
72445,46.67,17,14,54.84,0.0,,0.0,,-20.0,0.0,0.0,-28.57,-12.5
72447,46.93,379,305,55.41,-30.0,0.0,-4.6,,-17.06,-21.05,-19.51,-23.57,-12.37
72449,45.95,40,33,54.79,-50.0,0.0,0.0,,-16.67,0.0,-20.0,-29.41,-15.0
72450,46.02,8468,6989,54.78,-27.45,0.0,-0.46,0.0,-17.04,-18.32,-17.3,-26.1,-13.54
72453,45.71,38,31,55.07,-50.0,0.0,0.0,,-15.15,0.0,0.0,-31.25,-15.79
72454,46.01,1029,849,54.79,-27.45,0.0,-0.75,0.0,-17.04,-18.97,-16.67,-26.01,-13.53
72455,46.02,2825,2332,54.78,-27.86,0.0,-0.27,0.0,-17.04,-18.24,-17.2,-26.06,-13.49
72456,46.09,126,104,54.78,-16.67,0.0,0.0,,-17.12,-14.29,-14.29,-25.49,-14.29
72457,45.61,31,26,54.39,-50.0,,0.0,,-14.81,-50.0,0.0,-30.77,-13.33
72458,46.09,133,110,54.73,-28.57,0.0,0.0,,-17.09,-14.29,-20.0,-25.93,-13.64
72459,45.97,279,230,54.81,-28.57,0.0,0.0,,-17.14,-18.75,-16.13,-26.32,-13.04
72460,45.99,157,130,54.7,-25.0,0.0,0.0,,-16.67,-22.22,-17.65,-26.56,-14.1
72461,46.01,741,611,54.81,-27.03,0.0,-1.04,0.0,-17.05,-19.05,-17.07,-26.16,-13.59
72462,46.15,79,65,54.86,-25.0,0.0,0.0,,-17.39,0.0,-22.22,-25.0,-12.82
72464,45.45,12,10,54.55,-100.0,,0.0,,-10.0,0.0,0.0,-20.0,-16.67
72466,46.02,310,256,54.77,-26.67,0.0,0.0,,-16.91,-17.65,-14.71,-26.19,-13.64
