puma22,Num Eligible,Num Ineligible,Percentage Eligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible
0603300,33736,28010,0.55,5076,953,1780,94,28525,9357,4070,17718,15768
0603703,29314,24678,0.54,1074,1685,8438,47,15645,13326,2666,11068,9964
0603704,29480,21436,0.58,1523,2134,5220,2,16175,19507,1805,11819,10560
0603705,25952,36641,0.41,1297,5021,3037,0,15691,10180,1827,12256,10643
0603706,23472,20760,0.53,1003,3202,1678,49,12135,14459,1405,11613,8634
0603707,24470,11786,0.67,741,1620,1168,0,12812,21117,774,12164,9774
0603708,25358,16294,0.61,1684,2049,1285,0,17727,12475,1726,11906,9260
0603709,11425,28996,0.28,402,1718,1656,0,7724,3289,678,6389,3724
0603710,28107,23571,0.54,2607,6041,1573,45,13029,19256,1911,13863,11914
0603711,19536,34652,0.36,1047,3528,1416,234,12818,6852,2391,10681,6716
0603712,24851,15150,0.62,1935,3544,2348,4,11210,18661,1214,9743,8487
0603713,14681,18631,0.44,625,4918,494,0,6200,8041,1153,7934,6403
0603714,15018,19689,0.43,438,11011,183,227,2454,3010,1175,8731,3843
0603715,18740,15149,0.55,990,4744,1510,0,7984,11374,1011,9897,7613
0603716,14686,9033,0.62,942,2266,567,0,4450,11856,743,7683,5890
0603717,30268,31908,0.49,898,18095,1987,58,9617,8221,2116,14653,8752
0603718,20715,36260,0.36,348,4640,3043,0,10162,9369,201,8618,4869
0603719,34632,36177,0.49,726,4007,594,0,27094,7433,609,18711,13315
0603720,20595,29214,0.41,380,3129,1397,54,15766,4802,1237,11812,7535
0603721,31247,23983,0.57,1100,3901,3725,97,21279,13385,827,11706,9735
0603722,36884,26465,0.58,1733,4018,3431,0,21739,18803,1489,12834,11763
0603723,26960,13886,0.66,657,3268,804,0,9521,19069,1273,10482,8143
0603724,28579,35821,0.44,1326,3913,2676,0,18631,10994,1106,14127,8690
0603725,30898,34953,0.47,1382,4135,3173,90,18308,11097,1220,13029,9422
0603728,16973,33919,0.33,1229,2480,1340,0,14004,4575,432,8579,4460
0603730,33313,39902,0.46,862,7859,6037,83,17658,10902,969,12597,8276
0603731,19465,39249,0.33,231,3939,2701,0,14592,2831,1010,7137,5742
0603732,41775,35271,0.54,2506,5282,4438,161,23780,16559,1476,14455,11892
0603733,29499,15537,0.66,876,10317,2647,115,9419,14916,167,10415,6336
0603734,46386,32156,0.59,2610,10006,6023,0,17239,24810,984,16932,12535
0603735,31740,31128,0.5,2073,6959,1938,63,13818,19670,2517,16164,10631
0603736,18544,23275,0.44,344,10489,979,97,6505,7256,1110,9029,5646
0603737,23098,14760,0.61,1020,16451,812,0,2519,6474,705,14823,7314
0603738,24609,8729,0.74,1750,7677,363,48,7307,17037,404,11628,8712
0603739,20412,32544,0.39,889,4501,636,94,9113,13244,816,10993,7023
0603740,20795,14929,0.58,1254,1879,102,0,7436,18128,907,9605,6653
0603741,26854,7904,0.77,1724,447,502,0,15344,25801,563,10738,8561
0603742,25687,7085,0.78,1112,171,1053,0,9800,24227,200,10171,9458
0603743,21983,8540,0.72,1200,316,388,0,5932,21172,447,10884,7438
0603744,46170,26630,0.63,2659,10544,5361,503,15063,25924,1306,17972,14777
0603745,25473,4068,0.86,810,590,3031,43,6038,22393,271,8564,8620
0603746,23861,7197,0.77,868,4489,5871,0,7223,13631,456,9720,8475
0603747,36189,27964,0.56,1053,2700,18590,2,9273,14949,1980,16404,13917
0603748,22176,59591,0.27,766,2773,4089,60,15494,4545,827,9334,5494
0603750,42685,11481,0.79,940,818,19487,140,7840,23568,1617,19119,17703
0603751,33685,5577,0.86,1749,662,9103,160,11584,25453,825,13315,15156
0603752,31085,12003,0.72,1034,263,2444,89,13506,27996,929,13872,9820
0603753,18800,16903,0.53,1242,1728,1326,0,10920,12993,1065,9183,7382
0603754,17190,22361,0.43,1329,2490,632,148,8767,12090,1216,9892,5049
0603757,29448,15275,0.66,862,472,10796,0,11333,19218,1806,13683,10834
0603758,31103,21717,0.59,1598,6424,9847,45,10603,15149,2230,11783,9581
0603759,22516,14308,0.61,1095,1333,5371,0,8633,14928,460,8265,6853
0603760,10850,44796,0.19,228,1980,454,234,8928,1665,869,4368,2396
0603761,14088,35294,0.29,569,5745,987,1,8673,3446,1089,7609,4980
0603762,15315,17644,0.46,200,5497,3635,47,4848,6075,1796,9120,6139
0603763,23790,20827,0.53,1108,4931,7703,127,9337,11015,1655,10885,9085
0603764,21140,30062,0.41,1091,7757,2091,3,8886,8559,1544,12956,8300
0603766,22991,13065,0.64,1186,3965,5293,0,10464,11457,1180,8692,7743
0603767,32958,29688,0.53,1832,3565,3497,0,20720,21556,1272,11759,7738
0603768,11407,29778,0.28,339,2976,651,0,7199,3314,1053,6792,3049
0603770,15241,25803,0.37,558,3403,1515,27,11016,3923,614,5197,3376
0603771,14240,20940,0.4,667,2097,1025,2,10151,6771,1090,6143,5570
0603772,10628,20410,0.34,534,1108,1020,37,8155,5589,674,4898,3572
0603773,16013,24575,0.39,758,2261,1206,10,11540,7726,1196,6975,6140
0603774,17001,38439,0.31,588,3123,1591,253,14255,3010,1175,9004,3270
0603775,15625,37306,0.3,429,2232,1162,0,13039,3034,578,5423,2929
0603776,16016,27146,0.37,589,3572,1586,28,11589,4120,645,5467,3548
0603778,22001,16600,0.57,651,800,11276,0,5606,9982,1934,9541,7817
0603779,14196,37628,0.27,784,1561,1383,1,11302,5357,844,6657,4257
0603780,21981,22916,0.49,794,4519,3692,85,10466,11303,994,7015,6251
0603781,15845,11042,0.59,1546,2450,750,0,6604,12380,698,7975,6632
0603782,23699,14154,0.63,1458,1983,3544,54,10591,16862,753,10584,8748
0603900,25645,18410,0.58,1786,686,459,0,15537,18260,2098,11074,10944
0604103,12832,26157,0.33,312,986,869,57,9939,3751,548,6343,4024
0604104,16715,47674,0.26,690,1855,1069,5,12839,3883,478,8298,5607
0604701,23246,11077,0.68,1347,1031,305,0,12057,15581,1166,7672,7468
0604702,30566,20077,0.6,1200,3390,2689,257,13508,18824,2663,12689,13006
0605301,26815,43447,0.38,1554,4257,2331,136,17840,11308,3653,12773,9307
0605302,26862,18262,0.6,731,1601,1015,58,7922,22396,1212,9500,6363
0605303,18061,20084,0.47,1030,537,135,0,8964,14629,501,7317,5691
0605500,18748,30662,0.38,1299,2015,437,149,14517,7963,1338,9025,7762
0605700,17828,25685,0.41,1117,1094,0,0,17032,2802,2177,10848,5508
0605906,23359,42517,0.35,646,4423,787,0,15068,10273,2423,11502,8505
0605907,27713,38140,0.42,391,5510,1758,87,16564,14460,2964,11422,8227
0605908,22985,37063,0.38,1330,9674,1345,250,13343,8405,1964,12510,7351
0605909,25837,17555,0.6,820,6080,1711,0,16216,14432,1587,10563,7459
0605912,31068,20922,0.6,736,15624,798,1,9637,11091,2362,15912,11268
0605913,26695,16314,0.62,546,12949,656,137,10169,10793,1499,12904,8614
0605914,26381,52805,0.33,1259,4664,1077,454,20560,7601,2187,13315,7692
0605916,22786,11875,0.66,653,7305,287,41,8229,13509,1271,11333,7978
0605917,25082,14138,0.64,1273,2052,560,0,9185,21514,938,8960,4972
0605918,22860,43831,0.34,1112,5562,1016,199,14282,8306,1271,10027,5984
0605919,29040,32741,0.47,1279,5854,1405,1,17075,17228,1900,13727,9344
0605920,15938,29600,0.35,702,2066,955,120,9601,8955,1156,6701,6004
0605921,16356,32487,0.33,452,3873,475,1,10529,6262,459,5951,3815
0605922,15505,29103,0.35,385,4783,732,27,9411,4936,576,5266,3265
0605923,19554,32398,0.38,377,8949,1670,104,10421,3559,1129,5759,3255
0605924,14454,26403,0.35,298,6085,1097,73,8220,2654,859,4841,2707
0605925,20950,57537,0.27,582,5000,611,83,15879,3590,1538,11569,6229
0605926,11138,32927,0.25,383,1846,120,9,9022,2657,685,6387,4286
0605927,8660,29064,0.23,469,1999,458,0,7607,1150,1321,4923,1826
0605928,18716,54278,0.26,561,1832,554,0,15360,6267,1750,8127,6257
0606101,20259,40067,0.34,806,3636,2041,66,16199,5941,3016,9159,6539
0606102,14939,34993,0.3,886,2208,603,215,12409,3570,1886,7387,6794
0606103,14911,30731,0.33,911,1153,0,0,13787,3541,963,6503,4665
0606501,36057,25352,0.59,1258,867,979,0,18027,30605,892,15396,8971
0606502,26989,31088,0.46,399,2005,1777,117,22050,10716,2168,14964,7957
0606507,29772,25897,0.53,2824,1680,4360,78,20595,17380,3476,13048,9420
0606509,22863,12977,0.64,621,951,2764,0,8341,15762,1470,9871,7817
0606511,24628,23780,0.51,1972,2160,2117,0,11483,16061,1380,9212,9246
0606514,20441,25414,0.45,544,3418,1871,0,7853,13376,1566,9824,6359
0606515,33208,32707,0.5,1381,2301,2345,0,23128,13912,3345,17760,11153
0606516,15712,18952,0.45,523,1112,1925,0,11109,7788,2440,6482,6189
0606517,17469,21072,0.45,582,1236,2140,0,12352,8659,2713,7207,6881
0606518,14670,12717,0.54,823,1584,3501,33,5466,9425,1443,5641,5160
0606519,14473,12373,0.54,812,1555,3491,26,5358,9313,1430,5567,5102
0606520,18747,25340,0.43,1048,2502,2631,328,8641,11268,1474,7120,6167
0606521,11913,20072,0.37,599,1962,1053,0,6587,6132,659,5399,4270
0606522,18277,22937,0.44,624,1852,619,0,11029,10752,1040,7931,6196
0606523,16601,29743,0.36,924,2873,1938,6,12488,7411,2444,6718,6619
0606524,23565,34370,0.41,736,2868,3871,10,16662,10521,3668,10871,8957
0606525,27343,18330,0.6,1241,2236,3579,54,19389,13932,4223,14178,13120
0606701,20629,23726,0.47,1327,1805,3280,199,16071,4336,1671,8583,8840
0606703,17808,29955,0.37,871,1654,2023,0,13575,4910,2537,6919,6356
0606704,30670,20009,0.61,2638,5891,7523,0,17607,9163,2561,9731,11179
0606705,20897,28154,0.43,794,4553,4862,0,10611,7214,2144,9196,6665
0606706,21143,17080,0.55,2204,2946,3701,129,13747,6964,1476,8062,8460
0606707,22299,38770,0.37,1681,3389,2908,0,15783,6889,2103,8956,8400
0606709,27184,23800,0.53,1278,8708,7063,146,8973,7800,2598,12959,11437
0606712,10313,33582,0.23,470,1948,1152,0,8193,1824,1176,5448,3177
0606713,15782,22623,0.41,1506,3128,2413,254,11255,4241,2038,4903,5082
0606714,29834,20037,0.6,2314,7557,6192,0,13855,10815,3367,13597,13919
0606715,11773,20579,0.36,531,5066,2073,206,5424,2650,1131,5458,4433
0606716,12711,20063,0.39,709,4756,1766,130,6681,3605,1672,6460,5280
0606717,14116,18434,0.43,1078,3856,1670,63,8710,4768,2242,6977,6091
0607101,30661,21100,0.59,1972,1905,4074,406,25036,10883,5696,12580,14186
