puma22,Num Eligible,Num Ineligible,Percentage Eligible
0603778,22001,16600,0.57
0603779,14196,37628,0.27
0603780,21981,22916,0.49
0603781,15845,11042,0.59
0603782,23699,14154,0.63
0603900,25645,18410,0.58
0604103,12832,26157,0.33
0604104,16715,47674,0.26
0604701,23246,11077,0.68
0604702,30566,20077,0.6
0605301,26815,43447,0.38
0605302,26862,18262,0.6
0605303,18061,20084,0.47
0605500,18748,30662,0.38
0605700,17828,25685,0.41
0605906,23359,42517,0.35
0605907,27713,38140,0.42
0605908,22985,37063,0.38
0605909,25837,17555,0.6
0605912,31068,20922,0.6
0605913,26695,16314,0.62
0605914,26381,52805,0.33
0605916,22786,11875,0.66
0605917,25082,14138,0.64
0605918,22860,43831,0.34
0605919,29040,32741,0.47
0605920,15938,29600,0.35
0605921,16356,32487,0.33
0605922,15505,29103,0.35
0605923,19554,32398,0.38
0605924,14454,26403,0.35
0605925,20950,57537,0.27
0605926,11138,32927,0.25
0605927,8660,29064,0.23
0605928,18716,54278,0.26
0606101,20259,40067,0.34
0606102,14939,34993,0.3
0606103,14911,30731,0.33
0606501,36057,25352,0.59
0606502,26989,31088,0.46
0606507,29772,25897,0.53
0606509,22863,12977,0.64
0606511,24628,23780,0.51
0606514,20441,25414,0.45
0606515,33208,32707,0.5
0606516,15712,18952,0.45
0606517,17469,21072,0.45
0606518,14670,12717,0.54
0606519,14473,12373,0.54
0606520,18747,25340,0.43
0606521,11913,20072,0.37
0606522,18277,22937,0.44
0606523,16601,29743,0.36
0606524,23565,34370,0.41
0606525,27343,18330,0.6
0606701,20629,23726,0.47
0606703,17808,29955,0.37
0606704,30670,20009,0.61
0606705,20897,28154,0.43
0606706,21143,17080,0.55
0606707,22299,38770,0.37
0606709,27184,23800,0.53
0606712,10313,33582,0.23
0606713,15782,22623,0.41
0606714,29834,20037,0.6
0606715,11773,20579,0.36
0606716,12711,20063,0.39
0606717,14116,18434,0.43
0607101,30661,21100,0.59
0607102,34679,16699,0.67
0607103,31130,27358,0.53
0607104,22028,20868,0.51
0607105,20786,30311,0.41
0607107,20072,12863,0.61
0607108,34388,13907,0.71
0607110,20970,10153,0.67
0607111,23162,34353,0.4
0607112,19787,19097,0.51
0607115,13572,19091,0.42
0607116,20745,16565,0.56
0607117,18087,13602,0.57
0607118,30638,27088,0.53
0607119,20055,32064,0.38
0607301,25994,36430,0.42
0607302,13415,28538,0.32
0607306,24573,21131,0.54
0607307,15936,22872,0.41
0607308,11374,36761,0.24
0607310,19849,52323,0.28
0607311,8489,31591,0.21
0607312,14913,26907,0.36
0607313,30955,32070,0.49
0607314,20953,43323,0.33
0607315,20028,46029,0.3
0607316,33383,57061,0.37
0607317,30862,28535,0.52
0607322,19974,20129,0.5
0607323,13900,20527,0.4
0607324,13713,40914,0.25
0607325,18532,28350,0.4
0607326,13844,49830,0.22
0607327,25176,16426,0.61
0607328,18791,23399,0.45
0607329,19803,29742,0.4
0607330,35830,19718,0.65
0607507,19199,12656,0.6
0607508,13252,30272,0.3
0607509,18298,33875,0.35
0607510,19925,26716,0.43
0607511,14652,42511,0.26
0607512,13257,26390,0.33
0607513,12930,21438,0.38
0607514,13475,32380,0.29
0607705,32855,31279,0.51
0607706,33954,15785,0.68
0607707,14332,22408,0.39
0607708,27480,28631,0.49
0607709,13676,21392,0.39
0607901,26902,40708,0.4
0607902,15486,24475,0.39
0608101,18230,28243,0.39
0608102,14226,28931,0.33
0608103,12146,29264,0.29
0608104,10854,35087,0.24
0608105,11298,39456,0.22
0608106,9609,26407,0.27
0608301,22558,17442,0.56
0608302,17947,18353,0.49
0608303,28159,46099,0.38
0608505,12996,14944,0.47
0608506,15328,25143,0.38
0608507,10641,41391,0.2
0608508,15050,35655,0.3
0608510,22033,33045,0.4
0608511,10679,28522,0.27
0608512,8320,29758,0.22
0608515,6982,28983,0.19
0608516,14645,47412,0.24
0608517,12735,37049,0.26
0608518,11781,20468,0.37
0608519,20287,39192,0.34
0608520,14969,17775,0.46
0608521,18237,15909,0.53
0608522,7866,32631,0.19
0608701,20620,28781,0.42
0608702,17426,30527,0.36
0608900,33977,37528,0.48
0609501,25304,31059,0.45
0609502,23780,26289,0.47
0609503,16811,34955,0.32
0609702,16799,31610,0.35
0609704,15573,34732,0.31
0609705,15961,21798,0.42
0609706,20389,33717,0.38
0609901,17394,16542,0.51
0609902,22113,16992,0.57
0609903,27571,33896,0.45
0609904,20497,19154,0.52
0610100,34780,26861,0.56
0610701,28615,22486,0.56
0610702,29506,17978,0.62
0610703,30269,14658,0.67
0611102,15375,39262,0.28
0611103,27198,23813,0.53
0611104,16035,31781,0.34
0611107,15152,20601,0.42
0611108,16250,29392,0.36
0611109,15271,29203,0.34
0611301,16561,19379,0.46
0611302,18848,22056,0.46
0800100,16677,26372,0.39
0800200,12798,31511,0.29
0800301,14749,29207,0.34
0800302,21349,38682,0.36
0800303,13927,34207,0.29
0800401,10562,34970,0.23
0800501,15917,34754,0.31
0800502,17493,33319,0.34
0800601,14499,52324,0.22
0800701,15037,36507,0.29
0800702,19435,33921,0.36
0800703,20274,41837,0.33
0800801,10002,43134,0.19
0800901,7694,40603,0.16
0800902,8877,37940,0.19
0801001,16379,20567,0.44
0801002,20078,25037,0.45
0801003,12341,27180,0.31
0801101,25674,40811,0.39
0801201,16473,23717,0.41
0801202,26636,36357,0.42
0801301,24469,24427,0.5
0801401,11119,25042,0.31
0801501,14692,33149,0.31
0801601,19495,21904,0.47
0801602,9167,39404,0.19
0801603,10874,29434,0.27
0801701,27452,48788,0.36
0801702,28136,43433,0.39
0801703,22885,24067,0.49
0801704,16901,45380,0.27
0801705,32982,55058,0.37
0801800,18628,26964,0.41
0801900,23078,20770,0.53
0802001,15171,23544,0.39
0802002,12071,43134,0.22
0802003,15386,34137,0.31
0802004,20494,28911,0.41
0802005,17694,33194,0.35
0802006,23854,27345,0.47
0802101,20079,26167,0.43
0802200,21641,28782,0.43
0802301,35240,28713,0.55
0802401,22222,20309,0.52
0802501,24251,33172,0.42
0920100,16809,29912,0.36
0920201,31168,14323,0.69
0920202,18467,43825,0.3
0920203,16301,27945,0.37
0920204,28442,30472,0.48
0920205,12834,33927,0.27
0920206,28577,31934,0.47
0920207,21042,45027,0.32
0920301,19859,21963,0.47
0920401,19297,33040,0.37
0920402,29012,34013,0.46
0920500,21719,52339,0.29
0920601,35050,21323,0.62
0920602,23676,32085,0.42
0920603,27750,39313,0.41
0920604,15980,40322,0.28
0920701,28039,17080,0.62
0920702,24280,46999,0.34
0920703,19484,40545,0.32
0920801,35489,22225,0.61
0920802,18217,45590,0.29
0920901,24569,50929,0.33
0920902,10929,26087,0.3
0920903,16269,28537,0.36
0920904,25373,49932,0.34
1000101,14035,37498,0.27
1000102,22910,29371,0.44
1000103,13633,25461,0.35
1000104,14491,24720,0.37
1000105,12069,26451,0.31
1000200,31079,39218,0.44
1000301,21186,30992,0.41
1000302,21339,31215,0.41
1100101,8292,40184,0.17
1100102,17134,29383,0.37
1100103,15751,35842,0.31
1100104,40394,21037,0.66
1100105,16585,39269,0.3
1100106,16665,39027,0.3
1200101,31814,30601,0.51
1200102,14644,31128,0.32
1200398,20054,28925,0.41
1200500,33523,43245,0.44
1200798,37866,34612,0.52
1200901,17321,26046,0.4
1200902,16934,39820,0.3
1200903,21116,32415,0.39
1200904,30106,27420,0.52
1200905,17308,26101,0.4
1201101,13958,23068,0.38
1201102,18477,22898,0.45
1201103,22166,23516,0.49
1201104,22288,27384,0.45
1201105,19810,21607,0.48
1201106,30861,39039,0.44
1201107,22825,13894,0.62
1201108,23367,33101,0.41
1201109,22420,24532,0.48
1201110,14315,27540,0.34
1201111,13810,26870,0.34
1201112,15936,22902,0.41
1201113,22703,23391,0.49
1201114,21675,16587,0.57
1201115,11199,23072,0.33
1201116,23237,27225,0.46
1201117,9528,22588,0.3
1201398,35124,33674,0.51
1201500,35670,53318,0.4
1201700,30467,37801,0.45
1201901,14542,24496,0.37
1201902,15436,26006,0.37
1202101,15715,46692,0.25
1202102,20010,31782,0.39
1202103,19001,30732,0.38
1202799,33824,27528,0.55
1203101,25946,31444,0.45
1203102,32983,13070,0.72
1203103,38309,34572,0.53
1203104,20661,26811,0.44
1203105,19545,36483,0.35
1203106,21086,49397,0.3
1203107,20375,35609,0.36
1203301,17095,24728,0.41
1203302,22111,23059,0.49
1203303,19253,20733,0.48
1203500,17205,29895,0.37
1204798,21278,15975,0.57
1205199,23158,13976,0.62
1205300,37445,44052,0.46
1205701,36809,22556,0.62
1205702,15067,29861,0.34
1205703,28237,41430,0.41
1205704,20728,31307,0.4
1205705,29154,37956,0.43
1205706,20918,26780,0.44
1205707,22796,36800,0.38
1205708,13240,26913,0.33
1205709,12916,25052,0.34
1205710,16379,38443,0.3
1205711,15416,28806,0.35
1205998,23008,29680,0.44
1206100,25653,44321,0.37
1206901,18450,24005,0.43
1206902,20813,40139,0.34
1206903,20005,38044,0.34
1207101,20084,39424,0.34
1207102,17127,26680,0.39
1207103,35744,32373,0.52
1207104,24371,25585,0.49
1207105,16753,37887,0.31
1207106,16859,27551,0.38
1207301,17845,42066,0.3
1207302,35095,26418,0.57
1208101,18428,39276,0.32
1208102,20491,30680,0.4
1208103,14815,39830,0.27
1208301,20743,23574,0.47
1208302,21767,25541,0.46
1208303,29149,36576,0.44
1208500,25783,43382,0.37
1208601,20213,18595,0.52
1208602,24199,11357,0.68
1208603,19809,16979,0.54
1208604,18284,20592,0.47
1208605,22401,14613,0.61
1208606,29634,10254,0.74
1208607,26439,11682,0.69
1208608,17374,16029,0.52
1208609,29853,10510,0.74
1208610,17110,16323,0.51
1208611,27109,21339,0.56
1208612,19401,26578,0.42
1208613,36116,17376,0.68
1208614,19475,32040,0.38
1208615,27992,14098,0.67
1208616,11534,28339,0.29
1208617,17910,17936,0.5
1208618,17031,16410,0.51
1208619,16665,18324,0.48
1208620,16343,22585,0.42
1208621,21234,24830,0.46
1208622,25921,15940,0.62
1208623,18082,16720,0.52
1208624,24825,10818,0.7
1208625,18561,25887,0.42
1209101,15557,28576,0.35
1209102,14228,26136,0.35
1209501,25077,25681,0.49
1209502,21364,27650,0.44
1209503,19512,41677,0.32
1209504,32720,27894,0.54
1209505,26440,31787,0.45
1209506,24872,15207,0.62
1209507,22207,34218,0.39
1209508,22136,18715,0.54
1209509,21020,25774,0.45
1209510,22934,25504,0.47
1209701,18340,16658,0.52
1209702,14943,20098,0.43
1209703,30826,32184,0.49
1209901,12775,34782,0.27
1209902,19019,35811,0.35
1209903,35599,32565,0.52
1209904,27709,20914,0.57
1209905,24091,23103,0.51
1209906,27146,42617,0.39
1209907,24884,38079,0.4
1209908,15742,38907,0.29
1209909,16144,28872,0.36
1209910,10062,34799,0.22
1209911,23101,28933,0.44
1210101,23111,35701,0.39
1210102,21636,28291,0.43
1210103,32960,28298,0.54
1210104,16680,43107,0.28
1210301,16254,35732,0.31
1210302,19629,32904,0.37
1210303,19738,27595,0.42
1210304,20646,29386,0.41
1210305,14606,34534,0.3
1210306,24322,26428,0.48
1210307,26540,45851,0.37
1210308,16567,30058,0.36
1210501,21312,19190,0.53
1210502,34093,34578,0.5
1210503,24201,34634,0.41
1210504,33227,27629,0.55
1210505,24622,22987,0.52
1210799,22153,21566,0.51
1210902,9385,31192,0.23
1210903,12631,41978,0.23
1211101,21480,22178,0.49
1211102,17263,23959,0.42
1211103,18036,28475,0.39
1211300,21453,50269,0.3
1211501,19664,41489,0.32
1211502,20129,50529,0.28
1211503,24029,48179,0.33
1211701,13953,34425,0.29
1211702,20326,26699,0.43
1211703,19911,27483,0.42
1211704,10949,34329,0.24
1211900,20914,43140,0.33
1212701,23605,29588,0.44
1212702,33674,35443,0.49
1212703,31652,37697,0.46
1212704,22461,30311,0.43
1300100,31666,37542,0.46
1300200,17800,17946,0.5
1300300,31483,40776,0.44
1300400,24598,32848,0.43
1300500,25616,25427,0.5
1300601,16643,19830,0.46
1300602,16378,19507,0.46
1300701,7145,28418,0.2
1300702,10230,40695,0.2
1300801,8999,30304,0.23
1300802,15307,45383,0.25
1300900,14283,24285,0.37
1301000,29145,33397,0.47
1301100,20586,37629,0.35
1301200,20205,31248,0.39
1301301,16761,33681,0.33
1301302,10895,43309,0.2
1301303,24365,40498,0.38
1301304,15048,33446,0.31
1301305,26465,48349,0.35
1301401,13331,42100,0.24
1301402,9529,41952,0.19
1301403,11268,40888,0.22
1301404,19438,64523,0.23
1301405,23889,46122,0.34
1301406,37595,26772,0.58
1301407,21737,23294,0.48
1301408,19432,22578,0.46
1301501,14770,44301,0.25
1301502,18631,27222,0.41
1301503,16822,27165,0.38
1301504,13995,30260,0.32
1301505,14785,24433,0.38
1301506,17787,26116,0.41
1301601,23716,35885,0.4
1301602,13236,31332,0.3
1301603,15461,28819,0.35
1301604,17353,24320,0.42
1301605,19067,25336,0.43
1301606,20405,22485,0.48
1301607,20665,25893,0.44
1301700,24038,31272,0.43
1301800,26161,29171,0.47
1301900,17943,31035,0.37
1302000,22278,26179,0.46
1302100,32420,42237,0.43
1302201,14996,27707,0.35
1302202,15249,27033,0.36
1302301,33391,23057,0.59
1302302,26748,23046,0.54
1302400,12588,31379,0.29
1302500,16433,38976,0.3
1302600,19062,24797,0.43
1302700,19393,19575,0.5
1302800,28398,30468,0.48
1302900,31533,34652,0.48
1303000,29596,28268,0.51
1303100,25785,20915,0.55
1303200,15172,35847,0.3
1303301,19599,17073,0.53
1303302,20185,17807,0.53
1303400,28196,29928,0.49
1303500,29208,19059,0.61
1303600,26729,36616,0.42
1303700,30321,26107,0.54
1303800,40822,43046,0.49
1303900,26980,17528,0.61
1304000,24952,22423,0.53
1304100,22848,19065,0.55
1304200,27766,20987,0.57
1304300,24682,20457,0.55
1304400,33409,25324,0.57
1304500,31223,21173,0.6
1304600,22038,23518,0.48
1304701,36474,33557,0.52
1304702,15750,35247,0.31
1304800,26539,34836,0.43
1500100,37837,41957,0.47
1500200,34847,37347,0.48
1500301,15537,12839,0.55
1500302,11420,26126,0.3
1500303,11572,28304,0.29
1500304,27279,37060,0.42
1500305,18892,17647,0.52
1500306,17296,30801,0.36
1500307,15711,28386,0.36
1500308,16636,22588,0.42
1600100,22808,30320,0.43
1600200,24660,41283,0.37
1600300,19870,24162,0.45
1600400,20412,29665,0.41
1600500,23592,24556,0.49
1600600,22432,35364,0.39
1600701,17118,33657,0.34
1600702,16616,29886,0.36
1600800,18583,33593,0.36
1600900,20420,22528,0.48
1601000,18999,24849,0.43
1601100,21834,25186,0.46
1601200,17084,25761,0.4
1601300,22708,25925,0.47
1700100,25722,33571,0.43
1700701,21664,33197,0.39
1701901,30556,40010,0.43
1701902,28265,32184,0.47
1702900,24195,29311,0.45
1703101,16955,32703,0.34
1703102,16241,23204,0.41
1703103,13107,28894,0.31
1703104,14090,34436,0.29
1703105,16320,34651,0.32
1703106,13076,41382,0.24
1703107,21219,36888,0.37
1703108,24266,42275,0.36
1703109,22322,23316,0.49
1703110,17395,24542,0.41
1703111,18472,24980,0.43
1703112,21623,27778,0.44
1703113,22586,34774,0.39
1703114,28867,38574,0.43
1703115,16129,35359,0.31
1703116,23646,29887,0.44
1703117,33301,22432,0.6
1703118,29606,30644,0.49
1703151,21448,34047,0.39
1703152,26266,37168,0.41
1703153,36878,50698,0.42
1703154,18189,75597,0.19
1703155,22449,39736,0.36
1703156,20595,28728,0.42
1703157,37961,20106,0.65
1703158,39947,15784,0.72
1703159,24881,48909,0.34
1703160,24073,81615,0.23
1703161,40457,26938,0.6
1703162,26192,25671,0.51
1703163,33176,17592,0.65
1703164,29670,26304,0.53
1703165,36386,10432,0.78
1703166,27290,22670,0.55
1703167,35871,18476,0.66
1703168,34177,19390,0.64
1703700,24647,35657,0.41
1704301,19468,39801,0.33
1704302,12117,31947,0.27
1704303,13655,35439,0.28
1704304,11208,32210,0.26
1704305,13227,33323,0.28
1704306,13336,36360,0.27
1704307,14331,44071,0.25
1704900,21444,27755,0.44
1707300,24510,32045,0.43
1708901,9621,37365,0.2
1708902,20283,28170,0.42
1708903,13105,32470,0.29
1708904,23348,18673,0.56
1709100,23224,36328,0.39
1709300,14766,31749,0.32
1709500,24445,36091,0.4
1709701,20380,34316,0.37
1709702,25096,24391,0.51
1709703,16507,40015,0.29
1709704,6932,35715,0.16
1709705,10507,40186,0.21
1709900,25075,34526,0.42
1711101,16628,34797,0.32
1711102,18484,48059,0.28
1711300,24206,45057,0.35
1711500,26764,31102,0.46
1711700,21644,28613,0.43
1711901,27911,30894,0.47
1711902,14153,36608,0.28
1712100,27831,40483,0.41
1713500,22029,33305,0.4
1714300,34647,44695,0.44
1716100,24676,35511,0.41
1716301,26788,36321,0.42
1716302,19671,30117,0.4
1716500,23894,27824,0.46
1716700,32442,51972,0.38
1717900,20616,34593,0.37
1719500,28565,42727,0.4
1719701,14212,44593,0.24
1719702,13651,31937,0.3
1719703,24030,24905,0.49
1719704,8321,36105,0.19
1719705,13077,31873,0.29
1719900,39952,36005,0.53
1720101,39739,39408,0.5
1800101,26232,16909,0.61
1800102,26864,18430,0.59
1800103,19072,28818,0.4
1800104,16239,39735,0.29
1800200,23660,44565,0.35
1800300,18514,24931,0.43
1800401,20955,22441,0.48
1800402,21911,41768,0.34
1800501,15237,20430,0.43
1800502,14246,19101,0.43
1800600,26214,35759,0.42
1800700,17256,23518,0.42
1800800,19031,29108,0.4
1800900,20643,32798,0.39
1801001,30342,26368,0.54
1801002,22738,30275,0.43
1801003,12716,32426,0.28
1801100,19066,29987,0.39
1801200,33359,40165,0.45
1801300,25785,32613,0.44
1801400,23481,28742,0.45
1801500,20452,22194,0.48
1801600,17901,23218,0.44
1801700,22127,20012,0.53
1801801,14217,44573,0.24
1801901,8438,46144,0.15
1801902,9375,37554,0.2
1802000,27368,26541,0.51
1802100,24344,21633,0.53
1802200,18738,28389,0.4
1802300,15837,49914,0.24
1802401,17858,28046,0.39
1802402,14570,33753,0.3
1802403,22181,28248,0.44
1802404,30818,26876,0.53
1802405,35098,33489,0.51
1802406,27608,33877,0.45
1802407,29191,32987,0.47
1802500,17143,44973,0.28
1802600,19009,31702,0.37
1802700,23139,22459,0.51
1802800,31644,32787,0.49
1802900,27026,29688,0.48
1803000,20624,30046,0.41
1803100,16812,26182,0.39
1803200,17263,30419,0.36
1803300,15784,33188,0.32
1803400,34214,45084,0.43
1803500,23501,35045,0.4
1803600,21779,35531,0.38
1803700,21526,28110,0.43
1900100,16354,31242,0.34
1900200,20805,27474,0.43
1900301,14453,30742,0.32
1900302,15884,33797,0.32
1900400,18028,30667,0.37
1900500,23939,30012,0.44
1900600,21334,32668,0.4
1900700,24345,39413,0.38
1900800,22189,30579,0.42
1900900,28583,43529,0.4
1901100,20118,41183,0.33
1901200,19126,27972,0.41
1901300,19105,30621,0.38
1901400,14777,32682,0.31
1901501,19557,50936,0.28
1901502,13831,38438,0.26
1901503,36283,44725,0.45
1901600,13598,34714,0.28
1901800,19814,25525,0.44
1901900,21974,27816,0.44
1902000,21747,29690,0.42
1902100,29816,40277,0.43
1902200,21457,25768,0.45
1902300,20370,22505,0.48
2000100,19370,26355,0.42
2000200,24970,35036,0.42
2000300,23331,27684,0.46
2000400,35892,26647,0.57
2000501,27876,29063,0.49
2000601,15819,35662,0.31
2000700,20742,29017,0.42
2000801,12445,39767,0.24
2000802,16441,51788,0.24
2000803,11156,50345,0.18
2000804,19963,43728,0.31
2000900,15869,31085,0.34
2001000,28688,32760,0.47
2001101,26995,27862,0.49
2001201,20417,43845,0.32
2001301,20428,41709,0.33
2001401,30283,19438,0.61
2001501,25815,39323,0.4
2001600,16350,25215,0.39
2001701,18011,24889,0.42
2001800,18661,28283,0.4
2100100,37170,40251,0.48
2100200,24945,18328,0.58
2100300,22217,18243,0.55
2100400,38207,30616,0.56
2100500,25029,28064,0.47
2100600,24079,16797,0.59
2100700,24691,13750,0.64
2100800,28043,15446,0.64
2100900,30725,13624,0.69
2101000,29690,8262,0.78
2101100,37862,17112,0.69
2101200,28269,36794,0.43
2101300,18699,23023,0.45
2101400,19040,25240,0.43
2101500,16897,24659,0.41
2101600,15680,23308,0.4
2101701,41097,17486,0.7
2101702,16521,33538,0.33
2101703,14624,38153,0.28
2101704,17381,37492,0.32
2101705,27940,28349,0.5
2101706,31745,26776,0.54
2101800,15756,33913,0.32
2101901,26362,25446,0.51
2101902,16583,28406,0.37
2101903,15668,26838,0.37
2102000,23370,29519,0.44
2102100,24697,23004,0.52
2102200,28971,17757,0.62
2102300,24752,30567,0.45
2102400,25571,42171,0.38
2102500,15334,35695,0.3
2102600,27717,37100,0.43
2102700,29552,22664,0.57
2102800,28879,23533,0.55
2200101,31743,16899,0.65
2200102,25225,22637,0.53
2200200,31027,32280,0.49
2200300,39849,23838,0.63
2200400,35795,25863,0.58
2200500,32961,18357,0.64
2200600,23125,17615,0.57
2200700,38008,28063,0.58
2200801,24184,25445,0.49
2200901,30939,24073,0.56
2201000,30808,13778,0.69
2201100,23792,20481,0.54
2201201,24099,23571,0.51
2201202,16403,33934,0.33
2201300,26277,18535,0.59
2201400,20450,20235,0.5
2201501,22074,15326,0.59
2201502,24077,16053,0.6
2201503,31335,24771,0.56
2201504,17708,24418,0.42
2201600,23256,24897,0.48
