Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers,Num Eligible,Participation Rate
2023-06-01,08,407,4,127,3381,3919,24053,108,55488,128509,208159,824852,0.25
2023-07-01,08,26,2,917,3934,4879,24079,110,56399,132408,212996,824852,0.26
2023-08-01,08,298,0,1241,6178,7717,24377,110,57639,138585,220710,824852,0.27
2023-09-23,08,-1695,1,105,4274,2685,22682,111,57744,142858,223395,824852,0.27
2022-01-01,09,1246,0,1884,6013,9143,11283,12,41228,48377,100900,568632,0.18
2022-02-01,09,926,0,627,2237,3790,12209,12,41855,50614,104690,568632,0.18
2022-03-01,09,644,0,3182,3265,7091,12853,12,45037,53879,111781,568632,0.2
2022-04-01,09,271,0,1949,2321,4541,13124,12,46986,56201,116323,568632,0.2
2022-05-01,09,330,0,141,112,583,13454,12,47127,56313,116906,568632,0.21
2022-06-01,09,599,0,-2221,1409,-213,14053,12,44906,57722,116693,568632,0.21
2022-07-01,09,473,-6,-1516,2984,1935,14526,6,43390,60706,118628,568632,0.21
2022-08-01,09,467,0,-2987,3104,584,14993,6,40403,63810,119212,568632,0.21
2022-09-01,09,606,-1,1087,2171,3863,15599,5,41489,65981,123074,568632,0.22
2022-10-01,09,467,0,1118,1390,2975,16066,5,42607,67371,126049,568632,0.22
2022-11-01,09,291,0,-23,1095,1363,16357,5,42584,68466,127412,568632,0.22
2022-12-01,09,-1836,0,430,2555,1149,14521,5,43014,71021,128561,568632,0.23
2023-01-01,09,-192,0,1616,2947,4371,14329,5,44630,73968,132932,568632,0.23
2023-02-01,09,601,0,-224,2844,3221,14930,5,44406,76812,136153,568632,0.24
2023-03-01,09,540,0,-804,5443,5179,15470,5,43602,82254,141331,568632,0.25
2023-04-01,09,372,0,-699,5056,4729,15842,5,42903,87310,146060,568632,0.26
2023-05-01,09,691,0,173,5001,5865,16533,5,43076,92311,151925,568632,0.27
2023-06-01,09,720,0,1534,3652,5906,17253,5,44622,95979,157859,568632,0.28
2023-07-01,09,541,0,789,4082,5412,17794,5,45400,100046,163245,568632,0.29
2023-08-01,09,646,-1,764,5271,6680,18440,4,46164,105317,169925,568632,0.3
2023-09-23,09,-150,0,-776,1561,635,18290,4,45388,106878,170560,568632,0.3
2022-01-01,10,423,2,418,1156,1998,3200,11,7391,9214,19816,150742,0.13
2022-02-01,10,68,0,554,1004,1626,3268,11,7945,10218,21442,150742,0.14
2022-03-01,10,31,0,1134,1121,2286,3299,11,9079,11339,23728,150742,0.16
2022-04-01,10,-166,-1,814,646,1293,3133,10,9894,11985,25022,150742,0.17
2022-05-01,10,-141,-1,535,367,760,2992,9,10429,12352,25782,150742,0.17
2022-06-01,10,-112,-1,79,1107,1074,2881,8,10508,13460,26856,150742,0.18
2022-07-01,10,-117,-3,-176,927,631,2764,5,10331,14387,27487,150742,0.18
2022-08-01,10,-185,-1,-460,865,219,2579,4,9872,15251,27706,150742,0.18
2022-09-01,10,-108,-1,233,971,1095,2471,3,10105,16223,28802,150742,0.19
2022-10-01,10,-107,0,218,1271,1381,2364,3,10323,17492,30182,150742,0.2
2022-11-01,10,-110,0,3,795,688,2254,3,10325,18288,30870,150742,0.2
2022-12-01,10,-1411,-1,169,1046,-198,843,2,10494,19333,30673,150742,0.2
2023-01-01,10,-35,0,130,1724,1819,808,2,10624,21058,32492,150742,0.22
2023-02-01,10,-28,-1,-72,1615,1514,780,1,10551,22673,34005,150742,0.23
2023-03-01,10,-38,0,-320,1816,1458,742,1,10231,24489,35463,150742,0.24
2023-04-01,10,-25,0,-205,1499,1269,717,1,10026,25988,36733,150742,0.24
2023-05-01,10,-32,0,-59,2169,2078,685,1,9967,28157,38811,150742,0.26
2023-06-01,10,-37,0,251,2690,2904,648,1,10220,30853,41723,150742,0.28
2023-07-01,10,-22,0,53,2324,2355,626,1,10271,33170,44070,150742,0.29
2023-08-01,10,-38,0,-38,2185,2109,589,1,10233,35355,46179,150742,0.31
2023-09-23,10,-406,0,-205,812,202,183,1,10028,36168,46381,150742,0.31
2022-01-01,12,14610,5,15357,33280,63252,167970,257,230209,278870,677306,3685918,0.18
2022-02-01,12,14750,-6,7152,23175,45071,182720,251,237361,302045,722377,3685918,0.2
2022-03-01,12,16760,-5,14681,36335,67771,199480,246,252042,338380,790148,3685918,0.21
2022-04-01,12,11872,-7,6697,31239,49801,211352,239,258740,369619,839950,3685918,0.23
2022-05-01,12,15981,-10,-2575,19360,32756,227333,229,256165,388979,872706,3685918,0.24
2022-06-01,12,17149,-4,-14513,21721,24353,244482,225,241651,410699,897057,3685918,0.24
2022-07-01,12,20177,-37,-6931,22908,36117,264659,188,234720,433607,933174,3685918,0.25
2022-08-01,12,17536,-5,-22679,27469,22321,282195,183,212041,461076,955495,3685918,0.26
2022-09-01,12,15423,-2,2326,15726,33473,297618,181,214367,476802,988968,3685918,0.27
2022-10-01,12,14172,-9,11633,32824,58620,311790,172,226000,509626,1047588,3685918,0.28
2022-11-01,12,12096,-7,10998,33152,56239,323886,165,236998,542778,1103827,3685918,0.3
2022-12-01,12,12945,-7,17838,37841,68617,336831,158,254836,580619,1172444,3685918,0.32
2023-01-01,12,9982,-3,-20399,-13458,-23878,346813,155,234437,567159,1148564,3685918,0.31
2023-02-01,12,6401,-5,-2424,29248,33220,353214,150,232013,596408,1181785,3685918,0.32
2023-03-01,12,3484,-6,-10388,30015,23105,356698,144,221625,626422,1204889,3685918,0.33
2023-04-01,12,10590,0,-6163,43099,47526,367288,144,215462,669521,1252415,3685918,0.34
2023-05-01,12,9128,-1,-802,49672,57997,376416,143,214660,719193,1310412,3685918,0.36
2023-06-01,12,12393,1,4005,41857,58256,389000,144,218729,761449,1369322,3685918,0.37
2023-07-01,12,7816,0,2245,35066,45127,396609,144,220914,796097,1413764,3685918,0.38
2023-08-01,12,11016,1,2051,51225,64293,407625,145,222965,847322,1478057,3685918,0.4
2023-09-23,12,13779,-2,-1150,46290,58917,421404,143,221815,893612,1536974,3685918,0.42
2022-01-01,13,4549,2,11149,8281,23981,53217,341,204885,91243,349685,1665435,0.21
2022-02-01,13,3197,-1,14705,6674,24575,56414,340,219590,97916,374260,1665435,0.22
2022-03-01,13,3427,-14,17242,9825,30480,59841,326,236832,107741,404740,1665435,0.24
2022-04-01,13,1065,-7,-865,9078,9271,60906,319,235969,116821,414015,1665435,0.25
2022-05-01,13,2046,-8,5994,12787,20819,62952,311,241963,129608,434834,1665435,0.26
2022-06-01,13,1673,-5,3461,13648,18777,64625,306,245424,143256,453610,1665435,0.27
2022-07-01,13,2184,-21,1308,10671,14142,66809,285,246731,153927,467751,1665435,0.28
2022-08-01,13,1689,-4,-1338,10184,10531,68498,281,245393,164110,478282,1665435,0.29
2022-09-01,13,2318,-19,4073,9872,16244,70816,262,249465,173981,494524,1665435,0.3
2022-10-01,13,1591,-4,4450,9958,15995,72407,258,253915,183939,510518,1665435,0.31
2022-11-01,13,1253,-5,1242,8760,11250,73660,253,255157,192699,521767,1665435,0.31
2022-12-01,13,-4985,-2,-5360,16491,6144,68675,251,249797,209190,527912,1665435,0.32
2023-01-01,13,1152,-1,3807,14423,19381,69827,250,253604,223612,547291,1665435,0.33
2023-02-01,13,2933,-5,-402,13485,16011,72760,245,253201,237097,563301,1665435,0.34
2023-03-01,13,2522,-1,-4655,18934,16800,75282,244,248546,256031,580101,1665435,0.35
2023-04-01,13,2422,-2,-4590,18432,16262,77704,242,243956,274461,596363,1665435,0.36
2023-05-01,13,3080,-4,-4299,18999,17776,80784,238,239656,293460,614139,1665435,0.37
2023-06-01,13,3542,-9,-4144,18179,17568,84326,230,235542,311693,631792,1665435,0.38
2023-07-01,13,2329,-7,-3556,16655,15421,86655,222,231958,328294,647130,1665435,0.39
2023-08-01,13,2611,-85,-3150,20082,19458,89266,137,228806,348376,666586,1665435,0.4
2023-09-23,13,474,0,-6818,-1078,-7422,89740,137,221988,347298,659164,1665435,0.4
2022-01-01,15,273,-1,28,913,1213,3256,20,7179,9167,19622,207027,0.09
2022-02-01,15,492,3,467,713,1675,3748,23,7646,9880,21297,207027,0.1
2022-03-01,15,884,0,554,469,1907,4632,23,8200,10349,23204,207027,0.11
2022-04-01,15,773,0,-189,469,1053,5405,23,8011,10818,24257,207027,0.12
2022-05-01,15,953,0,-260,393,1086,6358,23,7751,11211,25343,207027,0.12
2022-06-01,15,1177,-1,102,604,1882,7535,22,7853,11815,27225,207027,0.13
2022-07-01,15,1280,-4,-160,853,1969,8815,18,7693,12668,29194,207027,0.14
2022-08-01,15,1152,-1,104,1180,2435,9967,17,7797,13848,31629,207027,0.15
2022-09-01,15,925,0,93,747,1765,10892,17,7889,14595,33393,207027,0.16
2022-10-01,15,652,0,246,720,1618,11544,17,8135,15315,35011,207027,0.17
2022-11-01,15,594,0,32,264,890,12138,17,8167,15579,35901,207027,0.17
2022-12-01,15,796,0,-338,522,980,12934,17,7829,16101,36881,207027,0.18
2023-01-01,15,399,-1,116,744,1258,13333,16,7945,16845,38139,207027,0.18
2023-02-01,15,629,0,116,708,1453,13962,16,8061,17554,39593,207027,0.19
2023-03-01,15,737,-1,-49,1292,1979,14699,15,8012,18846,41572,207027,0.2
2023-04-01,15,693,0,102,1303,2098,15392,15,8114,20149,43670,207027,0.21
2023-05-01,15,596,0,-154,1017,1459,15988,15,7960,21166,45129,207027,0.22
2023-06-01,15,732,-1,-57,937,1611,16720,14,7903,22107,46744,207027,0.23
2023-07-01,15,256,0,205,884,1345,16976,14,8108,22987,48085,207027,0.23
2023-08-01,15,311,0,591,1097,1999,17287,14,8699,24084,50084,207027,0.24
2023-09-23,15,536,0,801,1056,2393,17823,14,9500,25140,52477,207027,0.25
2022-01-01,16,156,1,158,512,828,1560,8,9032,6827,17426,287136,0.06
2022-02-01,16,145,1,659,592,1397,1705,9,9691,7418,18824,287136,0.07
2022-03-01,16,207,1,700,627,1535,1912,10,10389,8044,20355,287136,0.07
2022-04-01,16,252,0,-884,635,3,2165,10,9508,8681,20362,287136,0.07
2022-05-01,16,128,0,290,822,1240,2293,10,9798,9502,21602,287136,0.08
2022-06-01,16,228,-1,22,838,1088,2521,9,9819,10339,22687,287136,0.08
2022-07-01,16,269,-4,-47,926,1144,2790,5,9771,11264,23830,287136,0.08
2022-08-01,16,247,-1,-224,862,884,3037,4,9547,12126,24713,287136,0.09
2022-09-01,16,217,0,91,967,1275,3254,4,9638,13093,25989,287136,0.09
2022-10-01,16,154,0,230,1023,1407,3408,4,9868,14116,27396,287136,0.1
2022-11-01,16,175,0,187,634,996,3583,4,10055,14750,28392,287136,0.1
2022-12-01,16,173,0,54,1107,1334,3756,4,10109,15857,29726,287136,0.1
2023-01-01,16,95,0,415,1349,1859,3851,4,10522,17204,31582,287136,0.11
