Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers,Num Eligible,Participation Rate
2022-05-01,34,-122,13,4113,5013,9017,11805,128,73068,67642,152643,1268437,0.12
2022-06-01,34,-25,9,3487,3808,7279,11780,137,76555,71450,159922,1268437,0.13
2022-07-01,34,5,1,1932,4099,6037,11785,138,78487,75549,165959,1268437,0.13
2022-08-01,34,-191,6,676,6105,6596,11594,144,79163,81654,172555,1268437,0.14
2022-09-01,34,51,-4,2369,7714,10130,11645,140,81532,89368,182685,1268437,0.14
2022-10-01,34,-36,-2,1399,6396,7757,11609,138,82931,95764,190442,1268437,0.15
2022-11-01,34,-179,-2,-3496,4884,1207,11430,136,79435,100648,191649,1268437,0.15
2022-12-01,34,-4095,-3,419,8808,5129,7335,133,79854,109456,196778,1268437,0.16
2023-01-01,34,38,-4,855,9131,10020,7373,129,80709,118584,206795,1268437,0.16
2023-02-01,34,38,-4,545,10511,11090,7411,125,81254,129097,217887,1268437,0.17
2023-03-01,34,47,-4,-289,11480,11234,7458,121,80965,140577,229121,1268437,0.18
2023-04-01,34,54,-5,-669,10972,10352,7512,116,80296,151549,239473,1268437,0.19
2023-05-01,34,44,-4,178,12814,13032,7556,112,80474,164363,252505,1268437,0.2
2023-06-01,34,103,-9,1929,11391,13414,7660,103,82406,175766,265935,1268437,0.21
2023-07-01,34,4,-1,1795,9081,10879,7663,102,84198,184834,276797,1268437,0.22
2023-08-01,34,123,-3,2453,10733,13306,7786,99,86651,195567,290103,1268437,0.23
2023-09-23,34,-1458,1,-2270,647,-3080,6328,100,84381,196214,287023,1268437,0.23
2022-01-01,35,1242,-3,2871,4138,8249,11551,161,48602,33137,93450,442228,0.21
2022-02-01,35,650,-8,1180,4363,6184,12201,153,49781,37500,99636,442228,0.23
2022-03-01,35,220,-8,2202,5341,7755,12421,145,51983,42843,107390,442228,0.24
2022-04-01,35,-361,-1,581,3907,4126,12046,89,52112,46561,110808,442228,0.25
2022-05-01,35,-300,0,-844,3775,2631,11746,89,51269,50337,113440,442228,0.26
2022-06-01,35,-361,-3,-1083,8655,7209,11386,86,50184,58991,120646,442228,0.27
2022-07-01,35,-336,-4,-2559,8431,5532,11050,82,47624,67421,126178,442228,0.29
2022-08-01,35,-519,-1,-2126,6521,3875,10531,81,45499,73943,130055,442228,0.29
2022-09-01,35,-257,2,644,5132,5521,10274,83,46142,79075,135576,442228,0.31
2022-10-01,35,-271,-1,511,5312,5552,10003,82,46654,84387,141126,442228,0.32
2022-11-01,35,-331,1,268,2670,2608,9653,82,46237,86932,142903,442228,0.32
2022-12-01,35,-3995,-4,-208,2741,-1465,5677,79,46711,89813,142278,442228,0.32
2023-01-01,35,-33,1,1151,4567,5687,5644,80,47862,94380,147966,442228,0.33
2023-02-01,35,-38,0,-88,4783,4657,5606,80,47776,99161,152621,442228,0.35
2023-03-01,35,-70,-2,-495,5674,5106,5536,78,47280,104834,157728,442228,0.36
2023-04-01,35,-46,-1,-1360,4053,2645,5490,77,45919,108887,160374,442228,0.36
2023-05-01,35,-55,0,-861,4752,3836,5435,77,45057,113640,164209,442228,0.37
2023-06-01,35,-31,-1,-874,3110,2204,5433,117,44875,117322,167748,442228,0.38
2023-07-01,35,-55,-1,-641,2245,1548,5349,74,43565,118987,167976,442228,0.38
2023-08-01,35,-42,3,740,3027,3728,5307,77,44305,122013,171704,442228,0.39
2023-09-23,35,-1472,-1,29,-279,-1723,3836,76,44334,121735,169981,442228,0.38
2022-01-01,36,10757,7,19222,15856,45842,138642,205,352192,162783,653822,3448259,0.19
2022-02-01,36,13626,3,15103,7227,35959,152268,208,367295,170010,689781,3448259,0.2
2022-03-01,36,18623,-3,29697,17977,66294,170891,205,396988,187986,756070,3448259,0.22
2022-04-01,36,17525,-4,8461,16691,42673,188417,201,405458,204679,798755,3448259,0.23
2022-05-01,36,20328,-2,9902,25667,55895,208745,199,415360,230346,854650,3448259,0.25
2022-06-01,36,19529,0,4680,26573,50782,228274,199,420039,256918,905430,3448259,0.26
2022-07-01,36,24356,-16,-31913,17688,10115,252630,183,388124,274606,915543,3448259,0.27
2022-08-01,36,21130,-2,-7920,27227,40435,273760,181,380204,301833,955978,3448259,0.28
2022-09-01,36,20161,-3,1284,28827,50269,293921,178,381488,330660,1006247,3448259,0.29
2022-10-01,36,14379,-2,1990,23020,39387,308300,176,383475,353678,1045629,3448259,0.3
2022-11-01,36,11505,-5,-2342,16405,25563,319805,171,381133,370083,1071192,3448259,0.31
2022-12-01,36,15361,-3,-6100,23939,33197,335166,168,375033,394020,1104387,3448259,0.32
2023-01-01,36,10196,-2,5830,24496,40520,345361,166,380863,418511,1144901,3448259,0.33
2023-02-01,36,17634,0,2286,21840,41760,362996,166,383150,440361,1186673,3448259,0.34
2023-03-01,36,15410,-6,-1820,35653,49237,378406,160,381330,476014,1235910,3448259,0.36
2023-04-01,36,13422,-1,-2160,37093,48354,391828,159,379170,513107,1284264,3448259,0.37
2023-05-01,36,10578,0,10305,36373,57256,402404,159,389473,549479,1341515,3448259,0.39
2023-06-01,36,13862,-3,20552,32540,66951,416906,159,410978,583738,1411781,3448259,0.41
2023-07-01,36,7329,-2,13673,30863,51863,423574,154,423635,612809,1460172,3448259,0.42
2023-08-01,36,11614,0,9784,38780,60178,435188,154,433417,651589,1520348,3448259,0.44
2023-09-23,36,13268,0,467,27984,41719,448456,154,433884,679573,1562067,3448259,0.45
2022-01-01,37,9972,0,5689,13183,28844,143775,194,95615,131373,370957,1753491,0.21
2022-02-01,37,11599,-7,4856,8867,25315,155374,187,100471,140240,396272,1753491,0.23
2022-03-01,37,14432,-3,6571,13744,34744,169806,184,107041,153984,431015,1753491,0.25
2022-04-01,37,13611,-5,1932,10647,26185,183417,179,108975,164633,457204,1753491,0.26
2022-05-01,37,16310,-3,-2213,4802,18896,199727,176,106762,169435,476100,1753491,0.27
2022-06-01,37,15038,-3,-2330,10984,23689,214765,173,104432,180418,499788,1753491,0.29
2022-07-01,37,19470,-22,-1509,8348,26287,234235,151,102921,188765,526072,1753491,0.3
2022-08-01,37,16526,-4,-4347,7276,19451,250761,147,98574,196041,545523,1753491,0.31
2022-09-01,37,15522,-4,3101,5776,24395,266283,143,101675,201817,569918,1753491,0.33
2022-10-01,37,11412,-3,7551,10547,29507,277695,140,109226,212364,599425,1753491,0.34
2022-11-01,37,14331,-5,7830,10493,32649,292026,135,117056,222857,632074,1753491,0.36
2022-12-01,37,14215,1,7246,13539,35001,306241,136,124302,236396,667075,1753491,0.38
2023-01-01,37,10879,-2,-5626,-1887,3364,317120,134,118676,234506,670436,1753491,0.38
2023-02-01,37,6952,-6,-578,9578,15946,324072,128,118098,244090,686388,1753491,0.39
2023-03-01,37,13009,-1,-3563,11550,20995,337081,127,114535,255640,707383,1753491,0.4
2023-04-01,37,11786,0,-1876,17530,27440,348867,127,112659,273170,734823,1753491,0.42
2023-05-01,37,10870,-5,-2004,20876,29737,359737,122,110655,294044,764558,1753491,0.44
2023-06-01,37,12810,-2,-1015,18911,30704,372551,120,109655,313048,795374,1753491,0.45
2023-07-01,37,7845,0,-1377,14698,21166,380392,120,108262,327651,816425,1753491,0.47
2023-08-01,37,9987,-3,-1165,14784,23603,390379,117,107097,342435,840028,1753491,0.48
2023-09-23,37,11752,-1,-2067,10960,20644,402131,116,105030,353395,860672,1753491,0.49
2022-01-01,38,-1,1,-43,118,75,25,35,2014,2450,4526,109296,0.04
2022-02-01,38,0,0,53,71,124,25,35,2067,2523,4650,109296,0.04
2022-03-01,38,2,-1,151,451,603,27,34,2219,2969,5249,109296,0.05
2022-04-01,38,-4,0,72,722,790,23,34,2293,3695,6045,109296,0.06
2022-05-01,38,-3,-1,11,591,598,20,33,2304,4286,6643,109296,0.06
2022-06-01,38,4,1,75,401,481,24,34,2376,4685,7120,109296,0.07
2022-07-01,38,0,-2,55,458,511,24,32,2431,5136,7623,109296,0.07
2022-08-01,38,-4,-1,139,435,569,20,31,2570,5570,8192,109296,0.07
2022-09-01,38,-2,0,346,218,562,18,31,2914,5787,8751,109296,0.08
2022-10-01,38,0,0,349,124,473,18,31,3262,5910,9222,109296,0.08
2022-11-01,38,2,0,315,109,426,20,31,3578,6019,9648,109296,0.09
2022-12-01,38,3,-1,160,319,481,23,30,3736,6338,10127,109296,0.09
2023-01-01,38,4,0,217,622,843,27,30,3948,6958,10964,109296,0.1
2023-02-01,38,-5,0,266,404,665,22,30,4221,7368,11640,109296,0.11
2023-03-01,38,-6,1,338,463,796,16,31,4557,7830,12435,109296,0.11
2023-04-01,38,4,0,142,446,592,20,31,4699,8277,13028,109296,0.12
2023-05-01,38,-1,0,11,559,569,19,31,4709,8836,13596,109296,0.12
2023-06-01,38,1,-2,-23,428,404,20,29,4689,9272,14010,109296,0.13
2023-07-01,38,-5,0,57,439,491,15,29,4743,9703,14487,109296,0.13
2023-08-01,38,3,0,-12,604,595,18,29,4731,10306,15085,109296,0.14
2023-09-23,38,-3,0,40,634,671,15,29,4771,10941,15756,109296,0.14
2022-01-01,39,12585,5,5443,7578,25611,174080,45,239641,92931,506697,2004934,0.25
2022-02-01,39,14528,-3,10465,2903,27893,188608,42,250106,95834,534590,2004934,0.27
2022-03-01,39,16008,-1,16343,7707,40057,204616,41,266445,103541,574643,2004934,0.29
2022-04-01,39,13612,-3,-9397,8222,12434,218227,38,257035,111760,587060,2004934,0.29
2022-05-01,39,17918,0,3112,12708,33738,236145,38,260147,124468,620798,2004934,0.31
2022-06-01,39,19322,-1,2711,13653,35685,255467,37,262857,138121,656482,2004934,0.33
2022-07-01,39,22727,-16,-16354,11686,18043,278194,21,246501,149807,674523,2004934,0.34
2022-08-01,39,20977,0,-2797,10117,28297,299171,21,243704,159924,702820,2004934,0.35
2022-09-01,39,18699,-1,-1112,10227,27813,317870,20,242591,170149,730630,2004934,0.36
2022-10-01,39,14543,-1,1154,8095,23791,332413,19,243744,178243,754419,2004934,0.38
2022-11-01,39,12496,-2,-1732,5471,16233,344909,17,242012,183714,770652,2004934,0.38
2022-12-01,39,16979,-1,-3842,9265,22401,361888,16,238170,192979,793053,2004934,0.4
2023-01-01,39,12457,-2,2945,10973,26373,374345,14,241110,203952,819421,2004934,0.41
2023-02-01,39,18310,-2,-294,11552,29566,392656,12,240818,215503,848989,2004934,0.42
2023-03-01,39,17418,0,-3785,17467,31100,410074,12,237032,232969,880087,2004934,0.44
2023-04-01,39,14548,0,-1268,18821,32101,424622,12,235764,251790,912188,2004934,0.45
2023-05-01,39,13910,0,-1506,22779,35183,438531,12,234258,274569,947370,2004934,0.47
2023-06-01,39,16714,-1,1065,22727,40505,455296,11,235406,297398,988111,2004934,0.49
2023-07-01,39,9122,0,1627,20055,30804,464363,11,236957,317340,1018671,2004934,0.51
2023-08-01,39,12810,0,4686,20686,38182,477173,11,241643,338026,1056853,2004934,0.53
2023-09-23,39,13807,-2,1674,17335,32814,490980,9,243317,355361,1089667,2004934,0.54
2022-01-01,40,484,16,165,2407,3072,16428,315,100505,23183,140431,725560,0.19
2022-02-01,40,2615,7,2149,1568,6339,19043,322,102654,24751,146770,725560,0.2
2022-03-01,40,2316,19,3704,4219,10258,21359,341,106357,28969,157026,725560,0.22
2022-04-01,40,2346,11,-473,3828,5712,23705,352,105885,32798,162740,725560,0.22
2022-05-01,40,2729,11,1916,3967,8623,26434,363,107801,36765,171363,725560,0.24
2022-06-01,40,3392,0,2158,4356,9906,29826,363,109957,41122,181267,725560,0.25
2022-07-01,40,3028,-29,215,3749,6963,32854,334,110171,44870,188228,725560,0.26
2022-08-01,40,3205,5,3798,3638,10646,36059,339,113969,48508,198874,725560,0.27
2022-09-01,40,3326,11,3300,4078,10715,39385,350,117269,52586,209590,725560,0.29
2022-10-01,40,3077,4,3714,3240,10035,42421,354,119429,55699,217903,725560,0.3
2022-11-01,40,2864,8,3184,3420,9476,45285,362,122613,59119,227379,725560,0.31
2022-12-01,40,2409,2,-2229,3615,3797,47694,364,120384,62733,231175,725560,0.32
2023-01-01,40,808,3,551,4999,6361,48502,367,120935,67732,237536,725560,0.33
2023-02-01,40,3078,6,491,5226,8801,51580,373,121427,72958,246338,725560,0.34
2023-03-01,40,2543,2,129,6779,9453,54123,375,121556,79737,255791,725560,0.35
2023-04-01,40,2629,-1,747,6895,10270,56752,374,122303,86632,266061,725560,0.37
2023-05-01,40,4918,-2,1194,6701,12811,61670,372,123497,93333,278872,725560,0.38
2023-06-01,40,4525,-6,1705,5566,11790,66260,366,127347,99141,293114,725560,0.4
2023-07-01,40,4666,-6,1631,5291,11582,70860,360,127014,104175,302409,725560,0.42
2023-08-01,40,4369,-6,3146,5860,13369,75229,354,130160,110034,315777,725560,0.44
2023-09-23,40,3650,-3,1226,5215,10088,78879,351,131386,115249,325865,725560,0.45
2022-01-01,41,2609,0,295,5067,7972,24524,42,24026,37302,85896,745083,0.12
2022-02-01,41,2100,-1,-1480,6342,6961,26625,41,22546,43644,92858,745083,0.12
2022-03-01,41,1558,-2,-1612,9623,9568,28183,39,20935,53268,102425,745083,0.14
2022-04-01,41,624,-1,-1139,6471,5955,28807,38,19795,59733,108372,745083,0.15
2022-05-01,41,1144,-1,-1787,4649,4006,29951,37,18008,64382,112378,745083,0.15
2022-06-01,41,1648,0,-1898,6012,5762,31600,37,16109,70390,118137,745083,0.16
2022-07-01,41,1824,-11,-1618,5428,5623,33423,26,14491,75816,123757,745083,0.17
2022-08-01,41,1177,0,-3690,6341,3827,34601,26,10800,82157,127584,745083,0.17
2022-09-01,41,1238,1,-449,6264,7054,35839,27,10352,88421,134639,745083,0.18
2022-10-01,41,874,0,-674,6475,6675,36713,27,9678,94896,141314,745083,0.19
2022-11-01,41,733,-1,-860,5307,5179,37446,26,8818,100202,146493,745083,0.2
2022-12-01,41,-4512,-1,-1035,5397,-151,32935,25,7783,105598,146341,745083,0.2
2023-01-01,41,257,0,-217,6058,6098,33192,25,7565,111654,152436,745083,0.2
2023-02-01,41,1229,0,-322,6463,7370,34421,25,7243,118120,159809,745083,0.21
2023-03-01,41,884,0,-86,6751,7548,35305,25,7157,124870,167358,745083,0.22
2023-04-01,41,1067,-1,-162,6237,7143,36372,24,6995,131106,174499,745083,0.23
2023-05-01,41,890,0,-173,3740,4459,37263,24,6822,134846,178955,745083,0.24
2023-06-01,41,1128,0,-12,3923,5039,38468,24,6879,140632,186004,745083,0.25
2023-07-01,41,725,0,-90,5348,5983,39115,24,6720,144067,189927,745083,0.25
2023-08-01,41,1012,0,115,7931,9058,40127,24,6836,151999,198987,745083,0.27
2023-09-23,41,583,0,25,7122,7731,40710,24,6861,159122,206717,745083,0.28
2022-01-01,42,5645,77,6658,7929,20309,44237,726,206675,90650,342288,2115720,0.16
2022-02-01,42,2114,84,12336,6258,20792,46351,810,219011,96908,363080,2115720,0.17
2022-03-01,42,1092,41,21377,10591,33101,47443,851,240378,107497,396169,2115720,0.19
2022-04-01,42,-1727,26,-1316,9244,6227,45716,877,239063,116717,402373,2115720,0.19
2022-05-01,42,-849,85,7080,15393,21709,44867,962,246143,132110,424082,2115720,0.2
2022-06-01,42,-658,56,8383,16105,23886,44209,1018,254524,148215,447966,2115720,0.21
2022-07-01,42,-440,-8,-8272,18443,9723,43767,1010,246247,166658,457682,2115720,0.22
2022-08-01,42,-1349,44,-6092,21089,13692,42418,1054,240155,187747,471374,2115720,0.22
2022-09-01,42,-411,-54,-1561,19939,17913,42007,1000,238592,207686,489285,2115720,0.23
2022-10-01,42,-326,-38,118,15754,15508,41681,962,238709,223436,504788,2115720,0.24
2022-11-01,42,-422,-26,-697,12606,11461,40956,936,237711,235879,515482,2115720,0.24
2022-12-01,42,-12803,-39,-4245,19807,2720,28467,897,233746,255867,518977,2115720,0.25
2023-01-01,42,367,-26,1994,19627,21962,28834,871,235738,275489,540932,2115720,0.26
2023-02-01,42,632,-18,-2958,20436,18092,29466,853,232783,295928,559030,2115720,0.26
2023-03-01,42,438,-33,-5376,22730,17759,29903,820,227407,318658,576788,2115720,0.27
2023-04-01,42,371,-21,-4266,22175,18259,30274,799,223141,340833,595047,2115720,0.28
2023-05-01,42,287,-24,-3492,26805,23576,30561,775,219649,367637,618622,2115720,0.29
2023-06-01,42,325,-24,3813,21114,25228,30892,752,223591,389008,644243,2115720,0.3
2023-07-01,42,159,-12,-3432,21531,18246,31044,739,220030,410266,662079,2115720,0.31
2023-08-01,42,265,-8,3,23882,24142,31309,731,220033,434147,686220,2115720,0.32
2023-09-23,42,490,-13,-1458,20826,19845,31799,718,218575,454973,706065,2115720,0.33
2022-01-01,44,309,1,691,33,1034,6060,2,15594,3979,25635,190041,0.13
2022-02-01,44,1536,0,620,-12,2144,7596,2,16214,3967,27779,190041,0.15
2022-03-01,44,1161,0,954,368,2483,8757,2,17168,4335,30262,190041,0.16
2022-04-01,44,1078,0,-344,717,1451,9835,2,16824,5052,31713,190041,0.17
2022-05-01,44,1248,0,546,777,2571,11083,2,17370,5829,34284,190041,0.18
2022-06-01,44,1411,0,-198,852,2065,12494,2,17172,6681,36349,190041,0.19
2022-07-01,44,1248,-1,-171,491,1567,13741,1,17001,7171,37914,190041,0.2
2022-08-01,44,1403,0,-1271,918,1050,15144,1,15731,8088,38964,190041,0.21
2022-09-01,44,1541,0,204,1215,2960,16685,1,15935,9303,41924,190041,0.22
2022-10-01,44,1492,0,536,1703,3731,18177,1,16470,11006,45655,190041,0.24
2022-11-01,44,1250,0,136,1679,3065,19427,1,16607,12685,48720,190041,0.26
2022-12-01,44,1235,-1,-247,1334,2321,20662,0,16360,14019,51040,190041,0.27
2023-01-01,44,599,0,60,823,1482,21261,0,16420,14842,52522,190041,0.28
2023-02-01,44,1305,0,-1,987,2291,22566,0,16419,15829,54813,190041,0.29
2023-03-01,44,1416,0,-109,1452,2759,23981,0,16310,17281,57572,190041,0.3
2023-04-01,44,1098,0,-182,1994,2910,25079,0,16128,19274,60480,190041,0.32
2023-05-01,44,1860,0,-426,2390,3824,26939,0,15702,21663,64304,190041,0.34
2023-06-01,44,1562,0,-17,2061,3606,28507,0,15689,23725,67921,190041,0.36
2023-07-01,44,1614,0,-18,1589,3185,30114,0,15667,25313,71093,190041,0.37
2023-08-01,44,1414,0,606,1471,3491,31528,0,16273,26784,74584,190041,0.39
2023-09-23,44,1610,0,186,962,2758,33137,0,16459,27746,77342,190041,0.41
2022-01-01,45,4340,3,1368,4168,9879,56845,72,74146,49342,180405,890673,0.2
2022-02-01,45,4778,-1,2912,2222,9911,61623,71,77058,51564,190316,890673,0.21
2022-03-01,45,5131,-2,4301,4401,13831,66754,69,81359,55965,204147,890673,0.23
2022-04-01,45,4206,-5,-2382,3567,5386,70957,64,78972,59528,209521,890673,0.24
2022-05-01,45,5406,0,1012,4241,10659,76363,64,79984,63769,220180,890673,0.25
2022-06-01,45,4614,-3,1629,5479,11719,80977,61,81613,69247,231898,890673,0.26
2022-07-01,45,6333,-13,-1149,4514,9685,87310,48,80462,73760,241580,890673,0.27
2022-08-01,45,4749,-1,34,4812,9594,92059,47,80496,78572,251174,890673,0.28
2022-09-01,45,4555,0,736,4953,10244,96614,47,81232,83525,261418,890673,0.29
2022-10-01,45,3623,0,4903,6925,15451,100237,47,86135,90450,276869,890673,0.31
2022-11-01,45,4539,-1,5024,5658,15220,104776,46,91159,96108,292089,890673,0.33
2022-12-01,45,4257,-1,5737,6867,16860,109033,45,96896,102975,308949,890673,0.35
2023-01-01,45,2324,-1,-5165,2911,69,111357,44,91730,105882,309013,890673,0.35
2023-02-01,45,1952,0,-1069,5562,6445,113309,44,90663,111448,315464,890673,0.35
2023-03-01,45,3805,-1,-3069,6660,7395,117114,43,87593,118108,322858,890673,0.36
2023-04-01,45,3930,0,-1920,8517,10527,121044,43,85673,126625,333385,890673,0.37
2023-05-01,45,4085,-3,-2004,9161,11239,125129,40,83669,135786,344624,890673,0.39
2023-06-01,45,4770,-1,-1199,9141,12711,130294,39,82747,145783,358863,890673,0.4
2023-07-01,45,2456,0,-316,7154,9294,132339,39,82157,152055,366590,890673,0.41
2023-08-01,45,3209,0,-333,8596,11472,135548,39,81824,160651,378062,890673,0.42
2023-09-23,45,6958,-2,-534,8724,15146,142506,37,81290,169375,393208,890673,0.44
2022-01-01,46,-1,0,59,354,412,41,82,1642,2979,4745,121432,0.04
2022-02-01,46,-6,5,93,691,784,35,87,1737,3671,5529,121432,0.05
2022-03-01,46,4,0,127,1183,1314,39,87,1863,4852,6841,121432,0.06
2022-04-01,46,-4,0,90,904,991,35,87,1954,5758,7834,121432,0.06
2022-05-01,46,-3,2,63,1090,1152,32,89,2017,6847,8986,121432,0.07
2022-06-01,46,0,-3,88,1408,1493,32,86,2105,8255,10477,121432,0.09
2022-07-01,46,-1,-2,171,1153,1321,31,84,2277,9408,11798,121432,0.1
2022-08-01,46,1,-2,148,1212,1359,32,82,2424,10618,13158,121432,0.11
2022-09-01,46,0,0,76,603,679,33,82,2500,11221,13836,121432,0.11
2022-10-01,46,2,0,28,400,430,35,82,2528,11618,14264,121432,0.12
2022-11-01,46,4,0,41,165,210,39,82,2554,11738,14413,121432,0.12
2022-12-01,46,-2,-2,15,334,343,37,80,2581,12117,14813,121432,0.12
2023-01-01,46,0,0,57,982,1039,37,80,2638,13096,15848,121432,0.13
2023-02-01,46,2,-1,141,599,741,39,79,2779,13697,16594,121432,0.14
2023-03-01,46,-4,0,162,1201,1358,35,79,2941,14898,17950,121432,0.15
2023-04-01,46,1,0,37,704,741,36,79,2976,15603,18693,121432,0.15
2023-05-01,46,-1,-1,30,505,533,35,78,3008,16108,19229,121432,0.16
2023-06-01,46,-2,0,18,649,665,33,78,3027,16766,19904,121432,0.16
2023-07-01,46,-1,-1,7,910,916,32,77,3033,17666,20811,121432,0.17
2023-08-01,46,3,0,-19,421,405,35,77,3013,18088,21213,121432,0.17
2023-09-23,46,-2,0,-20,877,855,33,77,2993,18963,22067,121432,0.18
2022-01-01,47,4492,9,4900,7640,17042,53748,532,72307,78035,204624,1200938,0.17
2022-02-01,47,3317,15,3219,7524,14075,57065,547,75525,85562,218698,1200938,0.18
2022-03-01,47,3371,14,5880,9711,18976,60436,561,81407,95272,237673,1200938,0.2
2022-04-01,47,1152,13,1933,7194,10292,61588,574,83341,102469,247970,1200938,0.21
2022-05-01,47,2640,19,-1665,2994,3988,64228,593,81676,105463,251958,1200938,0.21
2022-06-01,47,2728,-1,-192,8031,10567,66956,592,81485,113494,262524,1200938,0.22
2022-07-01,47,3422,-43,-701,4158,6836,70377,549,80783,117652,269362,1200938,0.22
2022-08-01,47,2347,4,1924,2169,6444,72724,553,82707,119822,275804,1200938,0.23
2022-09-01,47,2895,-5,7924,379,11192,75619,548,90630,120201,286996,1200938,0.24
2022-10-01,47,1700,-1,7567,1585,10851,77318,547,98197,121786,297848,1200938,0.25
2022-11-01,47,1494,-13,5451,735,7668,78812,534,103649,122521,305516,1200938,0.25
2022-12-01,47,-3349,-2,3905,5307,5861,75463,532,107554,127829,311376,1200938,0.26
2023-01-01,47,1439,-7,4437,6420,12288,76902,525,111989,134249,323665,1200938,0.27
2023-02-01,47,3128,-7,2935,5964,12020,80030,518,114926,140214,335686,1200938,0.28
2023-03-01,47,2609,-8,-130,10103,12575,82640,510,114795,150316,348258,1200938,0.29
2023-04-01,47,2490,-7,-500,10270,12252,85130,503,114294,160586,360510,1200938,0.3
2023-05-01,47,3034,-5,-1532,12084,13579,88164,498,112762,172670,374089,1200938,0.31
2023-06-01,47,3082,-3,-37,9793,12835,91246,495,112746,182488,386971,1200938,0.32
2023-07-01,47,1719,-1,-854,7046,7910,92965,494,111871,189507,394834,1200938,0.33
2023-08-01,47,2285,-3,-1213,9603,10672,95249,491,110657,199111,405507,1200938,0.34
2023-09-23,47,2289,-3,-1992,8749,9045,97538,488,108666,207859,414551,1200938,0.35
2022-01-01,48,22580,4,-2882,23354,43056,253038,554,178536,251028,683155,4536368,0.15
2022-02-01,48,22838,-10,8746,-4357,27217,275876,544,187281,246671,710372,4536368,0.16
2022-03-01,48,24893,-14,14755,35858,75492,300769,530,202036,282528,785864,4536368,0.17
2022-04-01,48,13932,-21,-13720,37241,37432,314701,510,188314,319748,823274,4536368,0.18
2022-05-01,48,22712,-9,-6504,39087,55286,337413,501,181810,358835,878559,4536368,0.19
2022-06-01,48,20088,-12,-6122,37051,51005,357500,489,175688,395882,929559,4536368,0.2
2022-07-01,48,24320,-138,-7415,31438,48205,381820,351,168270,427317,977758,4536368,0.22
2022-08-01,48,16583,-10,-10279,30093,36387,398403,341,157991,457410,1014144,4536368,0.22
2022-09-01,48,17824,-6,2002,27879,47699,416227,335,159992,485288,1061841,4536368,0.23
2022-10-01,48,12578,-4,2095,29216,43885,428805,331,162086,514503,1105724,4536368,0.24
2022-11-01,48,9812,-2,-11627,16880,15063,438617,329,150459,531383,1120787,4536368,0.25
2022-12-01,48,2667,-6,8705,25999,37365,441283,323,159163,557376,1158146,4536368,0.26
2023-01-01,48,5544,-5,2007,33847,41393,446827,318,161169,591219,1199533,4536368,0.26
2023-02-01,48,15691,-15,1145,31087,47908,462518,303,162314,622309,1247444,4536368,0.27
2023-03-01,48,15484,-12,471,40364,56307,478002,291,162785,662671,1303749,4536368,0.29
2023-04-01,48,14634,-2,-19459,54821,49994,492636,289,143322,717491,1353738,4536368,0.3
2023-05-01,48,14188,-5,4886,34606,53675,506824,284,148208,752095,1407410,4536368,0.31
2023-06-01,48,18105,0,2552,39138,59795,527109,284,150984,794715,1473090,4536368,0.32
2023-07-01,48,10463,5,1419,40673,52560,535292,288,152175,831701,1519454,4536368,0.33
2023-08-01,48,12550,56,5100,44549,62255,547842,344,157275,876250,1581709,4536368,0.35
2023-09-23,48,10542,39,-16887,53805,47499,558383,383,140388,930055,1629208,4536368,0.36
2022-01-01,49,538,0,585,816,1938,3911,10,17853,9454,31229,361325,0.09
2022-02-01,49,250,1,1320,564,2135,4161,11,19173,10018,33363,361325,0.09
2022-03-01,49,108,0,1210,1208,2526,4269,11,20379,11223,35883,361325,0.1
2022-04-01,49,-191,-1,-1340,1086,-446,4078,10,19044,12308,35440,361325,0.1
2022-05-01,49,-163,-1,189,1316,1341,3915,9,19233,13625,36782,361325,0.1
2022-06-01,49,-129,0,-8,1257,1120,3786,9,19225,14883,37902,361325,0.1
2022-07-01,49,-130,-3,-383,1662,1146,3656,6,18841,16545,39049,361325,0.11
2022-08-01,49,-225,-1,-47,1353,1080,3431,5,18795,17898,40129,361325,0.11
2022-09-01,49,-125,0,453,1784,2111,3306,5,19247,19682,42238,361325,0.12
2022-10-01,49,-89,0,357,1817,2085,3217,5,19604,21498,44324,361325,0.12
2022-11-01,49,-137,0,310,595,768,3080,5,19914,22092,45092,361325,0.12
2022-12-01,49,-1806,0,-198,1346,-659,1274,5,19716,23437,44432,361325,0.12
2023-01-01,49,-45,0,487,1691,2133,1229,5,20200,25127,46561,361325,0.13
2023-02-01,49,-37,0,10,1494,1468,1192,5,20209,26623,48033,361325,0.13
2023-03-01,49,-44,0,0,2133,2089,1148,5,20209,28757,50121,361325,0.14
2023-04-01,49,-43,0,17,2046,2022,1105,5,20227,30803,52141,361325,0.14
2023-05-01,49,-37,0,-138,2978,2801,1068,5,20090,33782,54944,361325,0.15
2023-06-01,49,-39,0,95,3264,3321,1035,5,20528,37576,59144,361325,0.16
2023-07-01,49,-33,0,176,2169,2311,996,5,20359,39134,60491,361325,0.17
2023-08-01,49,-31,3,247,3226,3444,965,8,20604,42358,63934,361325,0.18
2023-09-23,49,-29,47,-121,2140,2037,936,55,20483,44498,65971,361325,0.18
